DISTRITO,CASILLA,,PAN,PRI,PRD-PT,PVEM,CONVERGENCIA,NUEVA ALIANZA,PARTIDO SOCIAL DEMÓCRATO,CANDIDATOS NO REGISTRADOS,NULOS,TOTAL,,
17,1683,C1,135,83,7,0,1,19,5,0,10,260,,
17,1684,B,149,145,24,0,3,38,11,0,9,379,,
17,1684,C1,141,168,21,0,1,30,17,0,7,385,,
17,1685,B,134,123,16,0,2,25,3,0,12,315,,
17,1685,C1,118,134,20,0,8,20,5,0,11,316,,
17,1686,B,95,89,16,0,2,19,8,0,9,238,,
17,1686,C1,108,69,13,0,1,31,7,0,13,242,,
17,1686,E1,164,41,18,0,32,10,3,0,7,275,,
17,1687,B,103,67,13,0,4,11,5,0,8,211,,
17,1687,C1,122,61,16,0,4,11,5,0,10,229,,
17,1688,B,121,93,54,0,9,9,10,0,0,296,,
17,1688,C1,107,108,49,0,6,25,4,1,13,313,,
17,1688,C2,97,104,69,0,7,32,19,1,15,344,,
17,1689,B,139,156,41,0,0,4,7,0,7,354,,
17,1689,C1,128,167,37,0,1,5,3,0,5,346,,
17,1690,B,157,191,47,0,3,9,2,0,4,413,,
17,1690,C1,151,182,55,0,1,5,2,0,4,400,,
17,1691,B,154,215,74,0,2,1,9,0,6,461,,
17,1691,C1,153,226,71,0,2,2,1,0,14,469,,
17,1692,B,137,167,65,0,0,2,2,1,2,376,,
17,1692,C1,110,187,67,0,0,5,0,1,1,371,,
17,1692,C2,125,170,74,0,1,4,10,0,8,392,,
17,1693,B,55,153,37,0,0,3,2,0,2,252,,
17,1693,C1,60,149,33,0,0,3,1,0,3,249,,
17,1694,B,218,76,21,0,1,5,1,0,10,332,,
17,1694,C1,210,63,24,0,1,0,5,0,11,314,,
17,1695,B,87,231,39,0,0,4,2,0,5,368,,
17,1695,C1,105,220,52,0,2,3,3,0,8,393,,
17,1695,E1,39,61,18,0,0,0,0,0,4,122,,
17,1797,B,98,72,137,0,0,0,0,0,5,312,,
17,1797,C1,87,92,128,0,0,1,1,1,2,312,,
17,1798,B,133,142,103,0,0,2,1,0,3,384,,
17,1799,B,148,90,144,0,1,1,1,0,9,394,,
17,1800,B,150,91,50,0,1,2,0,0,7,301,,
17,1801,B,51,56,24,0,0,0,0,0,3,134,,
17,1801,E1,62,20,54,0,0,0,0,0,0,136,,
17,1815,B,121,164,65,0,14,4,2,0,12,382,,
17,1815,C1,128,143,61,0,28,4,5,0,14,383,,
17,1815,C2,143,167,58,0,7,3,0,0,0,378,,
17,1816,B,109,198,45,0,13,3,5,8,0,381,,
17,1816,C1,108,201,36,0,9,3,6,5,0,368,,
17,1816,C2,118,177,57,0,3,3,0,7,0,365,,
17,1817,B,127,185,89,0,6,1,3,5,0,416,,
17,1817,C1,132,176,78,0,19,1,1,0,9,416,,
17,1817,S1,131,147,13,0,0,5,0,1,2,299,,
