dtto,municipio,secc,PAN_UDC,PRI_PVEM PNA_PPC,PRI_PNA PSD,PRI_PNA PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
02,SALTILLO,0942,139,0,0,0,574,8,6,8,2,0,1,1,0,739,28,767
02,SALTILLO,0943,864,0,0,0,3061,56,47,78,15,18,7,2,15,4163,109,4272
02,SALTILLO,0944,71,0,0,0,359,8,7,3,1,1,6,0,0,456,22,478
02,SALTILLO,0945,119,0,0,0,461,11,5,12,1,1,0,1,4,615,20,635
02,SALTILLO,0946,215,0,0,0,1447,20,23,7,2,1,1,0,8,1724,46,1770
02,SALTILLO,0952,421,0,0,0,1514,31,30,35,6,9,5,4,8,2063,54,2117
02,SALTILLO,0953,183,0,0,0,635,16,9,16,1,3,2,0,5,870,29,899
02,SALTILLO,0954,165,0,0,0,595,13,10,16,4,2,0,3,0,808,23,831
02,SALTILLO,0955,154,0,0,0,467,16,5,1,4,1,0,3,0,651,32,683
02,SALTILLO,0956,187,0,0,0,575,16,21,19,6,3,0,0,2,829,32,861
02,SALTILLO,0957,206,0,0,0,494,14,23,20,3,15,2,0,3,780,39,819
02,SALTILLO,0958,237,0,0,0,503,19,15,9,3,6,2,1,10,805,27,832
02,SALTILLO,0976,473,0,0,0,431,25,27,16,9,9,1,14,2,1007,34,1041
02,SALTILLO,0977,560,0,0,0,1060,37,38,34,13,11,3,4,3,1763,78,1841
02,SALTILLO,0978,206,0,0,0,617,10,8,16,2,2,0,0,1,862,36,898
02,SALTILLO,0979,193,0,0,0,1201,22,18,13,3,11,5,0,4,1470,40,1510
02,SALTILLO,0980,219,0,0,0,981,26,5,20,5,2,6,0,7,1271,37,1308
02,SALTILLO,0981,278,0,0,0,1307,18,17,23,5,7,3,4,7,1669,57,1726
02,SALTILLO,0992,1849,0,0,0,7502,127,111,135,33,48,12,14,10,9841,213,10054
02,SALTILLO,0993,752,0,0,0,3581,60,68,69,22,27,3,6,24,4612,104,4716
02,SALTILLO,0994,353,0,0,0,2718,23,20,40,3,7,14,2,9,3189,81,3270
02,SALTILLO,0995,203,0,0,0,399,15,7,16,2,2,1,0,2,647,25,672
02,SALTILLO,0996,188,0,0,0,421,12,25,12,5,2,1,0,1,667,30,697
