disn,seccion,casilla,pan,pri,prd,pt,prs,mc,nr,nul,
4,661,B,233,122,8,12,6,8,0,13,
4,661,C1,228,136,10,21,4,10,0,18,
4,662,B,365,206,13,25,6,16,2,14,
4,663,B,327,163,20,11,6,17,0,15,
4,663,C1,309,155,19,11,4,11,2,24,
4,664,B,367,167,18,13,3,10,0,20,
4,664,C1,367,187,14,12,6,12,0,12,
4,665,B,363,178,7,12,0,15,0,26,
4,666,B,281,180,6,15,4,14,0,14,
4,700,B,177,138,7,8,2,9,0,4,
4,700,C1,185,124,0,7,3,4,1,6,
4,701,B,273,210,12,13,2,9,0,3,
4,701,C1,527,207,16,14,6,11,0,9,
4,702,B,185,107,11,10,0,6,0,6,
4,702,C1,184,115,10,19,1,1,0,6,
4,703,B,207,143,5,0,2,8,0,15,
4,716,B,179,96,7,11,6,3,0,7,
4,717,B,47,25,3,3,2,1,0,1,
4,718,B,183,176,3,10,4,5,0,8,
4,719,B,205,125,8,11,3,0,0,0,
4,719,C1,274,115,0,10,0,3,0,0,
4,720,B,268,152,13,6,7,6,0,18,
4,721,B,232,162,13,11,5,16,0,8,
4,722,B,224,199,7,20,5,11,0,12,
4,723,B,265,207,10,18,5,9,0,0,
4,723,C1,268,212,11,16,6,6,0,12,
4,724,B,184,137,13,8,2,7,0,9,
4,724,C1,191,161,11,12,3,9,0,19,
4,724,C2,183,131,5,11,4,12,0,0,
4,730,B,313,153,9,11,4,9,0,12,
4,731,B,251,212,13,12,8,6,0,15,
4,732,B,243,271,6,9,2,7,0,19,
4,732,C1,249,246,11,11,4,3,0,20,
4,733,B,166,166,8,7,3,10,0,16,
4,733,C1,190,153,0,10,7,6,0,21,
4,742,B,287,215,0,17,9,10,2,10,
4,743,B,226,179,9,13,3,13,0,22,
4,744,B,231,149,18,22,4,12,0,11,
4,744,C1,249,156,13,11,6,0,0,3,
4,754,B,195,155,7,9,2,3,0,16,
4,754,C1,173,182,11,12,1,5,0,11,
4,754,C2,143,181,7,10,3,11,2,11,
4,770,B,125,266,7,4,3,1,0,18,
4,770,C1,122,271,12,10,0,1,0,13,
4,770,E1,25,52,4,2,0,0,0,6,
4,771,B,51,102,5,0,1,0,0,0,
4,771,E1,18,64,0,0,0,0,0,0,
4,773,B,79,132,6,5,0,0,0,3,
4,775,B,66,38,4,2,1,1,0,3,
4,775,E1,26,37,0,0,0,0,0,0,
4,776,B,23,50,0,0,0,0,0,3,
4,777,B,55,53,0,0,0,1,0,4,
4,790,B,44,141,3,4,0,1,0,1,
4,791,B,43,45,0,3,0,0,0,2,
4,792,B,173,152,5,10,7,5,0,9,
4,793,B,78,137,7,4,0,0,0,3,
4,794,B,134,119,0,3,0,1,0,10,
4,795,B,162,258,0,13,1,2,0,15,
4,800,B,130,165,5,8,0,5,0,0,
4,801,B,151,172,9,9,0,5,0,9,
4,801,C1,119,149,3,4,0,6,0,43,
4,802,B,232,185,10,8,1,1,0,19,
4,803,B,138,111,2,8,0,0,0,0,
4,803,E1,93,56,7,6,2,4,0,9,
4,803,E2,52,62,5,24,1,0,0,5,
4,806,B,190,230,16,19,2,7,0,16,
4,918,B,273,176,14,19,6,11,0,15,
4,919,B,185,65,6,5,2,9,0,4,
4,920,B,244,163,10,21,4,27,0,15,
4,921,B,220,146,8,6,1,10,0,19,
4,922,B,200,92,15,5,1,12,0,11,
4,844,B,254,186,5,17,3,16,0,11,
4,844,C1,290,166,3,12,2,8,0,14,
4,844,C2,277,132,3,15,3,17,0,12,
4,844,C3,271,153,4,24,4,16,0,13,
4,844,C4,278,152,6,10,0,24,1,20,
4,845,B,260,157,13,18,2,9,0,17,
4,845,C1,273,144,9,27,3,8,0,15,
4,845,C2,273,158,3,12,5,16,0,15,
4,845,C3,268,153,4,22,6,12,0,14,
4,846,B,287,218,6,14,3,10,0,15,
4,846,C1,255,228,2,17,3,11,0,15,
4,847,B,291,190,4,20,0,6,0,24,
4,847,C1,280,194,7,27,5,12,0,0,
4,847,C2,277,180,7,28,2,8,0,15,
4,847,C3,284,176,3,35,2,11,0,19,
4,847,C4,279,205,4,29,5,4,0,11,
4,847,C5,268,195,6,24,4,21,1,15,
4,848,B,268,209,2,15,4,17,1,18,
4,848,C1,279,229,6,16,2,6,0,0,
4,849,B,277,176,5,16,2,11,0,0,
4,850,B,328,176,2,17,3,14,0,16,
4,850,C1,306,194,5,21,3,14,0,0,
4,851,B,243,181,5,18,2,8,0,13,
4,852,B,309,241,4,28,2,8,0,29,
4,853,B,243,188,8,8,3,11,0,13,
4,853,C1,220,162,8,12,2,5,0,11,
4,854,B,585,276,0,15,4,25,0,15,
4,855,B,331,285,7,26,2,9,0,16,
4,856,B,155,172,0,4,0,3,0,4,
4,856,E1,122,92,0,1,0,0,0,5,
4,857,B,192,189,2,8,2,11,0,0,
4,857,C1,198,178,3,2,3,7,0,11,
4,858,B,211,169,0,3,7,9,0,11,
4,858,C1,199,192,1,5,3,17,0,12,
4,859,B,271,289,5,8,0,6,0,10,
4,859,C1,213,293,1,8,2,7,0,20,
4,860,B,113,209,0,7,1,4,7,8,
4,861,B,311,246,4,6,2,2,0,9,
4,862,B,164,132,0,2,0,0,0,3,
4,862,E1,99,59,1,0,0,0,0,3,
4,862,E2,46,93,1,0,1,0,0,0,
4,863,B,182,140,0,3,0,5,0,0,
4,864,B,202,195,1,7,0,4,0,19,
4,864,C1,222,136,0,4,2,2,0,16,
4,864,E1,43,44,0,10,1,3,0,2,
4,865,B,229,268,0,22,2,2,0,0,
4,865,E1,60,74,0,6,0,0,0,0,
5,597,B,133,198,104,24,3,10,0,0,
5,598,B,124,208,54,22,4,5,0,30,
5,598,C1,139,200,63,28,4,7,0,15,
5,598,C2,143,191,75,18,3,3,1,21,
5,598,C3,122,190,55,22,6,4,0,28,
5,599,B,89,179,44,23,3,9,0,0,
5,600,B,85,125,44,23,0,5,0,12,
5,600,C1,71,139,40,19,1,5,0,0,
5,601,B,109,173,42,24,4,7,2,10,
5,601,C1,86,175,53,25,3,6,0,0,
5,601,C2,98,167,45,20,6,5,0,22,
5,602,B,97,176,60,29,1,9,0,20,
5,602,C1,103,170,81,24,2,7,0,0,
5,603,B,87,141,34,22,3,4,1,14,
5,603,C1,74,143,30,15,4,4,0,17,
5,604,B,65,152,39,19,8,4,0,15,
5,604,C1,58,161,39,17,0,0,0,13,
5,605,B,78,135,42,13,4,5,0,19,
5,605,C1,80,149,27,17,1,4,0,12,
5,606,B,107,156,38,22,4,5,3,19,
5,606,C1,85,196,38,31,6,4,1,18,
5,607,B,131,199,46,24,0,7,0,50,
5,607,C1,113,231,46,31,6,7,0,28,
5,607,C2,135,204,53,41,6,7,0,20,
5,622,B,146,175,50,14,2,8,0,27,
5,623,B,91,156,31,19,3,8,0,8,
5,623,C1,74,147,25,17,3,8,0,19,
5,624,B,104,247,39,30,5,11,0,17,
5,625,B,77,183,35,22,3,1,0,9,
5,626,B,97,187,47,28,4,4,0,0,
5,626,C1,78,165,35,42,6,6,1,26,
5,627,B,77,148,50,24,5,2,0,16,
5,627,C1,102,135,39,35,5,9,0,17,
5,628,B,119,257,61,63,2,10,0,20,
5,629,B,63,110,32,11,3,3,0,16,
5,629,C1,62,110,39,15,5,5,0,16,
5,630,B,114,158,59,28,0,7,0,21,
5,630,C1,100,180,56,26,0,5,0,24,
5,631,B,128,209,67,31,7,9,0,21,
5,631,C1,106,208,67,21,5,8,0,21,
5,632,B,96,134,52,28,7,12,1,11,
5,632,C1,94,123,45,32,2,15,0,17,
5,635,B,144,213,65,31,4,8,0,21,
5,635,C1,150,198,70,34,5,13,0,0,
5,636,B,93,147,55,27,5,5,0,14,
5,637,B,113,181,40,32,1,6,0,28,
5,638,B,78,156,48,32,5,6,0,0,
5,639,B,131,214,57,26,2,12,0,18,
5,640,B,85,134,24,17,4,12,0,8,
5,640,C1,74,117,33,28,1,8,1,10,
5,641,B,75,177,24,29,1,8,0,11,
5,642,B,116,221,47,28,6,12,0,22,
5,643,B,173,179,72,27,8,32,0,30,
5,651,B,109,143,31,27,4,11,1,12,
5,651,C1,107,132,34,19,2,9,0,28,
5,652,B,156,151,50,16,3,12,0,20,
5,654,B,133,133,74,18,3,8,0,25,
5,655,B,110,146,38,25,5,20,0,17,
5,656,B,127,192,70,27,5,17,0,28,
5,657,B,120,186,58,18,5,10,0,16,
5,658,B,144,224,85,30,7,9,0,19,
5,659,B,91,142,46,18,3,5,0,13,
5,660,B,144,217,40,26,3,2,0,14,
5,667,B,135,180,84,21,7,12,0,6,
5,668,B,123,127,80,20,2,11,0,12,
5,911,B,104,163,21,13,1,6,0,13,
5,912,B,58,97,27,12,1,4,0,8,
5,913,B,116,134,41,18,4,8,0,17,
5,914,B,128,198,65,18,4,10,0,15,
5,915,B,62,137,30,6,6,4,0,7,
5,916,B,88,140,30,10,4,1,0,9,
5,917,B,117,180,38,21,0,4,0,13,
6,257,B,131,197,3,3,0,8,0,17,
6,257,C1,142,179,3,7,0,5,0,15,
6,258,B,200,389,0,16,0,34,0,44,
6,258,C1,245,334,6,27,0,27,0,30,
6,259,B,92,231,4,9,4,46,0,51,
6,259,C1,86,258,2,12,1,38,0,39,
6,259,E1,113,165,6,24,0,127,0,0,
6,259,E1C1,456,678,5,77,2,351,0,0,
6,260,B,157,127,2,4,0,13,0,0,
6,260,E1,85,52,5,28,1,0,0,0,
6,261,B,140,209,0,15,1,7,0,18,
6,262,B,83,243,0,10,1,2,0,22,
6,262,E1,155,46,0,28,0,0,0,7,
6,263,B,49,62,0,0,0,0,0,0,
6,264,B,134,105,2,25,2,21,0,30,
6,264,E1,50,49,1,2,0,2,0,0,
6,265,B,131,115,0,10,0,4,0,22,
6,266,B,118,214,2,5,1,10,0,7,
6,267,B,115,351,1,41,4,1,0,39,
6,267,C1,101,364,6,42,2,9,0,28,
6,267,E1,113,69,0,35,0,0,0,0,
6,267,E2,109,107,0,7,0,0,0,0,
6,268,B,138,185,1,2,0,0,0,2,
6,268,E1,48,136,0,7,0,7,0,0,
6,268,E2,98,230,0,17,0,15,0,0,
6,269,B,111,157,0,8,3,0,0,22,
6,269,C1,82,191,1,4,1,0,2,23,
6,270,B,250,191,1,43,1,0,0,25,
6,270,C1,247,185,2,46,0,1,0,13,
6,270,E1,159,159,2,13,2,7,0,12,
6,271,B,87,108,0,12,0,7,0,4,
6,271,E1,101,128,0,14,2,6,0,0,
6,272,B,137,284,1,54,1,5,0,0,
6,273,B,123,219,2,26,1,5,0,0,
6,273,E1,66,116,3,70,1,9,0,0,
6,274,B,191,216,5,114,0,0,0,0,
6,275,B,33,83,0,12,0,16,0,0,
6,275,E1,88,99,0,3,2,0,0,2,
6,276,B,20,200,0,127,0,1,0,0,
6,276,E1,60,129,0,88,0,5,0,0,
6,276,E2,124,110,1,42,0,11,0,14,
6,866,B,203,165,4,21,0,1,0,22,
6,867,B,167,357,4,104,5,11,0,0,
6,867,E1,61,77,0,7,0,0,0,0,
6,868,B,25,248,0,3,0,0,0,6,
6,869,B,120,340,1,3,0,0,0,16,
6,869,C1,151,352,0,6,0,0,0,7,
6,870,B,103,222,0,5,0,1,0,15,
6,870,C1,101,242,0,3,0,0,0,2,
6,872,B,7,143,0,30,0,0,0,15,
6,873,B,20,109,0,3,1,0,0,0,
6,873,E1,18,84,0,0,0,0,0,1,
6,873,E2,12,90,0,0,0,0,0,0,
6,873,E3,5,93,0,1,0,0,0,5,
6,874,B,37,112,0,0,0,0,0,0,
6,874,E1,18,97,1,1,0,0,0,0,
6,874,E2,7,102,0,0,0,0,0,0,
6,875,B,161,34,0,2,0,0,0,8,
6,876,B,34,106,0,3,0,0,0,9,
6,876,E1,48,105,1,3,0,0,0,13,
6,878,B,238,224,1,33,0,0,0,0,
6,878,E1,11,131,0,34,0,0,0,16,
7,49,B,142,179,2,43,104,0,0,12,
7,50,B,164,179,3,25,138,0,0,0,
7,51,B,145,191,3,32,96,5,0,13,
7,52,B,153,161,0,22,43,0,0,7,
7,52,C1,132,163,0,26,54,1,0,11,
7,53,B,99,149,0,22,55,0,0,11,
7,53,C1,89,168,1,19,58,2,0,11,
7,54,B,119,194,0,26,56,0,0,18,
7,54,C1,123,175,1,28,62,3,0,9,
7,55,B,108,93,3,3,3,1,0,0,
7,56,B,210,196,0,24,25,4,0,11,
7,57,B,185,229,1,70,36,2,0,20,
7,58,B,148,128,2,13,41,2,0,6,
7,59,B,182,192,2,10,46,0,0,13,
7,59,C1,175,171,3,25,55,1,0,0,
7,60,B,188,222,0,4,63,0,0,0,
7,61,B,117,187,6,39,137,0,0,25,
7,61,E1,52,43,0,4,16,0,0,3,
7,62,B,54,81,0,6,20,0,0,6,
7,63,B,57,104,0,8,38,0,0,6,
7,64,B,23,98,0,27,6,0,0,7,
7,65,B,138,122,1,26,8,1,0,0,
7,65,E1,26,123,1,6,4,0,0,4,
7,239,B,140,246,0,7,5,0,0,10,
7,240,B,114,194,0,3,7,0,0,17,
7,241,B,262,361,3,7,5,1,0,16,
7,242,B,271,356,2,6,12,0,0,12,
7,243,B,142,259,1,4,3,1,0,11,
7,244,B,277,406,1,2,13,1,0,20,
7,245,B,42,81,0,1,0,0,0,0,
7,246,B,13,118,0,0,0,0,0,3,
7,246,E1,14,100,0,0,0,0,0,0,
7,247,B,84,143,1,0,1,1,0,5,
7,248,B,217,271,0,2,0,0,0,0,
