ord,edon,munn,inegi,ife,status,dy,mo,yr,edo,mun,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,nulos,tot,l01,l02,l03,l04,l05,l06,v13,l07,l08,l09,l10,l11,l12,l13,_merge
11872,17,22,17022,17022,jailbreak pdf,1,jul,2012,Morelos,Tetela del VolcÃ¡n,589,1464,,,3846,,,3264,,,,,288,9451,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11873,17,23,17023,17023,jailbreak pdf,1,jul,2012,Morelos,Tlalnepantla,716,897,1618,48,15,44,,,221,,,,131,3690,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11874,17,24,17024,17024,jailbreak pdf,1,jul,2012,Morelos,TlaltizapÃ¡n,5493,,6741,494,748,371,,506,1695,,,1010,701,22715,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11875,17,25,17025,17025,jailbreak pdf,1,jul,2012,Morelos,Tlaquiltenango,2279,,2476,3891,2352,150,,621,,193,,,864,15476,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11876,17,26,17026,17026,jailbreak pdf,1,jul,2012,Morelos,Tlayacapan,1274,3176,1757,63,1926,52,237,329,195,,,,295,9304,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11877,17,27,17027,17027,jailbreak pdf,1,jul,2012,Morelos,Totolapan,1367,935,445,28,645,7,1414,311,74,,,,163,5389,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11878,17,28,17028,17028,jailbreak pdf,1,jul,2012,Morelos,Xochitepec,5992,,4353,1559,778,2377,,267,1710,,,,1244,25689,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11879,17,29,17029,17029,jailbreak pdf,1,jul,2012,Morelos,Yautepec,7032,11964,10862,1093,782,1133,1220,3771,2767,,,,2031,42655,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11880,17,30,17030,17030,jailbreak pdf,1,jul,2012,Morelos,Yecapixtla,3756,,3698,1209,6093,180,,661,,378,,,1195,20100,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11881,17,31,17031,17031,jailbreak pdf,1,jul,2012,Morelos,Zacatepec de Hidalgo,1296,4463,2503,482,889,1141,,4551,978,,,,687,16996,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11882,17,32,17032,17032,jailbreak pdf,1,jul,2012,Morelos,Zacualpan de Amilpas,881,1760,197,799,333,45,109,863,207,,,,182,5376,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11883,17,33,17033,17033,jailbreak pdf,1,jul,2012,Morelos,Temoac,1612,1839,651,62,1180,21,1706,420,111,,,,294,7897,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
