mun,seccion,casilla,pan,pri,prd,pt,prd,mc,indepValorEresTu,indepAhoraSi,IndepLayin,nr,nul
Amatlán de Cañas,74,B ,34,186,,14,,,,,,0,5
Amatlán de Cañas,74,E1 ,22,52,,10,,,,,,0,3
Amatlán de Cañas,75,B ,106,215,,1,,,,,,0,11
Amatlán de Cañas,76,B ,36,53,,2,,,,,,0,1
Amatlán de Cañas,77,B ,153,146,,8,,,,,,2,7
Amatlán de Cañas,78,B ,138,274,,16,,,,,,2,18
Amatlán de Cañas,79,B ,239,325,,6,,,,,,0,13
Amatlán de Cañas,80,B ,104,238,,9,,,,,,0,20
Amatlán de Cañas,81,B ,52,99,,7,,,,,,2,10
Amatlán de Cañas,82,B ,119,218,,8,,,,,,1,11
Amatlán de Cañas,83,B ,144,272,,16,,,,,,3,25
Amatlán de Cañas,84,B ,16,79,,0,,,,,,0,1
Amatlán de Cañas,86,B ,39,192,,6,,,,,,0,4
Amatlán de Cañas,87,B ,43,26,,0,,,,,,0,0
Amatlán de Cañas,88,B ,115,184,,1,,,,,,0,0
Amatlán de Cañas,89,B ,86,196,,2,,,,,,1,3
Bahía de Banderas,90,B,,156,120,7,2,112,,,,0,0
Bahía de Banderas,90,C1,,128,106,9,4,101,,,,1,11
Bahía de Banderas,90,C2,,153,120,6,1,90,,,,0,0
Bahía de Banderas,90,C3,,161,114,15,2,82,,,,4,8
Bahía de Banderas,90,C4,,157,106,10,0,107,,,,0,0
Bahía de Banderas,90,C5,,150,101,5,0,93,,,,0,12
Bahía de Banderas,90,C6,,163,106,7,1,96,,,,0,17
Bahía de Banderas,90,C7,,122,123,7,2,97,,,,0,10
Bahía de Banderas,90,C8,,182,115,8,5,91,,,,0,12
Bahía de Banderas,90,C9,,126,126,9,1,83,,,,0,15
Bahía de Banderas,90,C10,,130,130,7,0,84,,,,0,12
Bahía de Banderas,90,C11,,143,110,8,2,94,,,,0,13
Bahía de Banderas,90,E1,,94,144,5,0,160,,,,2,0
Bahía de Banderas,91,B,,258,217,7,0,46,,,,0,0
Bahía de Banderas,92,B,,177,184,5,3,74,,,,0,18
Bahía de Banderas,93,B,,73,60,2,0,2,,,,0,4
Bahía de Banderas,94,B,,204,193,5,0,15,,,,0,10
Bahía de Banderas,95,B,,90,132,1,0,3,,,,1,1
Bahía de Banderas,95,E1,,65,164,2,0,6,,,,2,6
Bahía de Banderas,96,B,,232,100,5,1,73,,,,0,0
Bahía de Banderas,96,C1,,219,107,6,1,60,,,,0,15
Bahía de Banderas,97,B,,196,247,3,7,1,,,,0,7
Bahía de Banderas,97,C1,,178,235,2,2,19,,,,0,6
Bahía de Banderas,98,B,,351,85,12,2,166,,,,1,22
Bahía de Banderas,98,C1,,325,91,5,2,180,,,,0,19
Bahía de Banderas,98,E1,,95,115,10,0,71,,,,0,11
Bahía de Banderas,98,E2,,54,105,2,0,97,,,,0,3
Bahía de Banderas,99,B,,105,364,5,0,62,,,,0,13
Bahía de Banderas,100,B,,112,324,0,0,54,,,,0,14
Bahía de Banderas,100,C1,,108,315,4,0,31,,,,0,8
Bahía de Banderas,101,B,,93,301,1,1,44,,,,0,12
Bahía de Banderas,101,C1,,102,330,1,0,32,,,,0,13
Bahía de Banderas,102,B,,118,310,6,1,22,,,,0,14
Bahía de Banderas,102,C1,,110,328,1,1,40,,,,2,8
Bahía de Banderas,103,B,,105,282,0,0,20,,,,0,10
Bahía de Banderas,103,C1,,109,269,3,0,19,,,,0,5
Bahía de Banderas,104,B,,165,393,6,0,34,,,,0,12
Bahía de Banderas,104,C1,,115,431,1,0,31,,,,0,6
Bahía de Banderas,105,B,,177,190,8,3,108,,,,0,18
Bahía de Banderas,105,C1,,185,165,10,1,97,,,,0,12
Bahía de Banderas,106,B,,208,164,5,5,90,,,,1,17
Bahía de Banderas,106,C1,,245,153,4,2,78,,,,0,16
Bahía de Banderas,107,B,,192,118,4,2,96,,,,2,18
Bahía de Banderas,107,C1,,174,97,1,4,123,,,,0,23
Bahía de Banderas,107,E1,,172,204,5,1,29,,,,0,11
Bahía de Banderas,108,B,,195,149,6,2,102,,,,0,13
Bahía de Banderas,108,C1,,200,124,7,0,119,,,,0,16
Bahía de Banderas,109,B,,250,249,5,0,46,,,,0,0
Bahía de Banderas,110,B,,288,292,6,24,55,,,,0,13
Bahía de Banderas,110,E1,,158,161,5,1,42,,,,0,10
Bahía de Banderas,111,B,,183,141,9,6,98,,,,0,22
Bahía de Banderas,111,C1,,169,164,12,0,93,,,,0,0
Bahía de Banderas,111,C2,,179,95,4,2,96,,,,0,22
Bahía de Banderas,111,C3,,183,131,7,1,91,,,,0,17
Bahía de Banderas,111,C4,,142,157,10,0,94,,,,0,0
Bahía de Banderas,112,B,,190,158,9,1,123,,,,0,9
Bahía de Banderas,112,C1,,186,148,9,2,89,,,,0,0
Bahía de Banderas,112,C2,,176,121,7,7,106,,,,0,13
Bahía de Banderas,112,C3,,180,117,7,1,105,,,,1,8
Bahía de Banderas,112,C4,,205,133,10,1,106,,,,3,20
Bahía de Banderas,113,B,,112,102,6,1,41,,,,0,9
Bahía de Banderas,113,C1,,130,69,8,0,53,,,,2,13
Bahía de Banderas,114,B,,244,87,6,1,58,,,,0,8
Bahía de Banderas,114,C1,,220,84,2,0,66,,,,0,23
Bahía de Banderas,114,C2,,234,88,3,0,75,,,,0,12
Bahía de Banderas,115,B,,170,121,5,6,138,,,,1,8
Bahía de Banderas,115,C1,,158,116,9,3,139,,,,2,11
Bahía de Banderas,115,C2,,183,108,5,1,114,,,,0,0
Bahía de Banderas,115,C3,,152,130,10,0,133,,,,0,11
Bahía de Banderas,115,C4,,174,95,5,1,152,,,,0,0
Bahía de Banderas,115,C5,,186,114,6,1,145,,,,0,9
Bahía de Banderas,115,C6,,160,102,6,1,155,,,,1,9
Bahía de Banderas,115,C7 ,,173,117,7,0,128,,,,0,7
Bahía de Banderas,116,B ,,140,84,11,0,120,,,,0,9
Bahía de Banderas,116,C1 ,,122,89,8,2,134,,,,0,3
Bahía de Banderas,116,C2 ,,137,97,7,3,123,,,,0,9
Bahía de Banderas,116,C3 ,,124,83,6,1,118,,,,0,0
Bahía de Banderas,116,C4 ,,144,108,3,3,109,,,,2,7
Bahía de Banderas,116,C5 ,,131,79,6,1,96,,,,0,6
Bahía de Banderas,117,B ,,167,198,21,3,160,,,,0,11
Bahía de Banderas,117,C1 ,,169,185,15,2,161,,,,0,19
Bahía de Banderas,118,B ,,136,114,8,4,134,,,,0,19
Bahía de Banderas,118,C1 ,,166,117,12,8,137,,,,1,24
Bahía de Banderas,118,C2 ,,150,116,10,11,141,,,,0,25
Bahía de Banderas,118,C3 ,,144,120,7,11,124,,,,0,21
Bahía de Banderas,118,C4 ,,159,125,12,13,116,,,,1,22
Bahía de Banderas,118,C5 ,,151,121,8,13,141,,,,0,20
Bahía de Banderas,118,C6 ,,187,106,9,7,133,,,,0,0
Bahía de Banderas,118,C7 ,,163,136,8,12,110,,,,0,0
Bahía de Banderas,119,B ,,173,60,23,10,191,,,,0,15
Bahía de Banderas,119,C1 ,,189,81,9,4,198,,,,0,7
Bahía de Banderas,119,C2 ,,148,96,20,4,174,,,,0,15
Bahía de Banderas,120,B ,,131,126,3,3,167,,,,2,16
Bahía de Banderas,120,C1 ,,132,142,4,2,167,,,,0,21
Bahía de Banderas,120,C2 ,,129,169,6,1,148,,,,4,13
Bahía de Banderas,120,C3 ,,138,124,4,3,171,,,,0,0
Bahía de Banderas,121,B ,,196,158,5,1,118,,,,3,9
Bahía de Banderas,121,C1 ,,221,132,6,2,121,,,,0,11
Bahía de Banderas,122,B ,,201,124,14,2,93,,,,1,16
Bahía de Banderas,122,C1 ,,197,109,18,1,118,,,,0,18
Bahía de Banderas,123,B ,,123,74,6,1,123,,,,0,0
Bahía de Banderas,123,C1 ,,151,85,7,1,111,,,,1,11
Compostela,124,B,212,234,,24,2,10,,,,1,26
Compostela,125,B,134,169,,12,0,5,,,,1,11
Compostela,125,C1,145,137,,7,1,6,,,,0,0
Compostela,126,B,155,189,,15,2,3,,,,1,9
Compostela,126,C1,175,191,,14,2,2,,,,0,15
Compostela,127,B,248,120,,14,0,12,,,,2,18
Compostela,128,B,270,203,,9,0,10,,,,4,18
Compostela,129,B,148,165,,19,1,7,,,,0,9
Compostela,129,C1,165,149,,7,0,4,,,,1,10
Compostela,130,B,173,202,,5,2,6,,,,0,17
Compostela,131,B,168,198,,10,1,6,,,,1,12
Compostela,132,B,138,233,,10,1,6,,,,1,25
Compostela,132,C1,134,219,,25,0,4,,,,0,0
Compostela,133,B,148,198,,24,2,10,,,,0,29
Compostela,133,C1,154,215,,23,1,7,,,,0,15
Compostela,134,B,213,299,,11,3,4,,,,3,41
Compostela,135,B,243,234,,21,2,13,,,,1,29
Compostela,136,B,215,225,,8,1,10,,,,0,17
Compostela,137,B,186,165,,10,2,6,,,,0,13
Compostela,137,E1,175,152,,14,2,4,,,,0,25
Compostela,138,B,139,154,,7,2,4,,,,2,18
Compostela,139,B,138,163,,27,6,4,,,,0,8
Compostela,140,B,109,198,,2,0,3,,,,0,6
Compostela,141,B,182,107,,18,2,8,,,,0,21
Compostela,142,B,26,51,,1,0,1,,,,0,0
Compostela,143,B,42,87,,1,0,0,,,,0,2
Compostela,143,E1,15,63,,2,0,0,,,,0,0
Compostela,144,B,176,155,,6,15,4,,,,0,21
Compostela,145,B,131,189,,7,5,11,,,,0,5
Compostela,145,E1,53,37,,9,1,0,,,,0,10
Compostela,146,B,30,86,,2,1,0,,,,0,0
Compostela,147,B,139,131,,4,1,0,,,,0,4
Compostela,148,B,215,180,,13,1,4,,,,0,6
Compostela,149,B,169,150,,22,1,4,,,,1,8
Compostela,150,B,139,162,,17,2,2,,,,0,4
Compostela,151,B,123,157,,23,4,2,,,,0,16
Compostela,151,C1,110,140,,38,6,2,,,,0,17
Compostela,152,B,213,194,,30,3,6,,,,1,18
Compostela,153,B,24,95,,2,0,4,,,,1,5
Compostela,154,B,173,82,,5,1,0,,,,0,7
Compostela,155,B,138,139,,4,0,1,,,,0,0
Compostela,156,B,69,166,,4,1,0,,,,0,10
Compostela,157,B,114,131,,10,1,31,,,,0,12
Compostela,157,E1,35,33,,4,4,2,,,,0,4
Compostela,158,B,245,188,,45,10,3,,,,0,24
Compostela,159,B,143,173,,28,6,4,,,,0,18
Compostela,160,B,191,131,,15,4,4,,,,0,0
Compostela,161,B,172,83,,13,5,1,,,,0,19
Compostela,161,C1,167,93,,13,6,0,,,,0,12
Compostela,162,B,127,131,,20,7,3,,,,0,11
Compostela,163,B,170,175,,23,18,3,,,,0,13
Compostela,164,B,183,146,,39,13,5,,,,0,13
Compostela,165,B,188,138,,26,8,2,,,,0,13
Compostela,166,B,168,215,,65,7,3,,,,0,20
Compostela,167,B,133,115,,36,12,3,,,,0,11
Compostela,167,C1,94,119,,29,9,1,,,,0,0
Compostela,168,B,198,96,,29,4,4,,,,0,10
Compostela,168,C1,196,87,,33,4,2,,,,0,15
Compostela,169,B,234,127,,80,5,5,,,,1,13
Compostela,170,B,66,32,,39,0,1,,,,1,11
Compostela,171,B,94,98,,8,1,4,,,,0,7
Compostela,171,C1,125,116,,8,1,4,,,,0,4
Compostela,172,B,49,29,,0,0,1,,,,0,0
Compostela,173,B,192,247,,17,2,2,,,,0,15
Compostela,174,B,16,62,,5,0,0,,,,0,1
Compostela,175,B,116,168,,3,1,1,,,,1,8
Compostela,176,B,163,193,,11,3,3,,,,1,4
Compostela,177,B,136,102,,20,1,1,,,,0,17
Compostela,177,C1,125,118,,30,0,2,,,,0,11
Compostela,178,B,49,178,,2,1,9,,,,0,0
Compostela,179,B,123,140,,4,4,5,,,,0,14
Compostela,180,B,123,154,,33,6,6,,,,0,15
Compostela,181,B ,62,17,,3,0,0,,,,0,0
Compostela,181,E1 ,18,77,,1,0,1,,,,0,4
Compostela,182,B ,28,81,,2,3,8,,,,0,0
Compostela,183,B ,117,137,,14,23,32,,,,2,16
Compostela,184,B ,111,83,,16,20,24,,,,0,12
Compostela,184,C1 ,97,78,,17,13,31,,,,0,15
Compostela,185,B ,82,68,,15,16,13,,,,0,0
Compostela,185,C1 ,84,73,,17,10,12,,,,0,8
Compostela,186,B ,114,117,,3,7,21,,,,3,21
Compostela,187,B ,119,104,,13,12,31,,,,0,27
Compostela,188,B ,179,134,,12,51,23,,,,0,0
Compostela,189,B ,151,144,,26,46,32,,,,1,30
Compostela,190,B ,135,114,,12,32,13,,,,0,0
Compostela,190,C1 ,145,107,,7,54,21,,,,0,0
Compostela,190,E1 ,116,120,,9,109,12,,,,0,11
Compostela,190,E1C1 ,122,107,,12,87,20,,,,0,27
Compostela,190,E2 ,58,121,,10,14,2,,,,0,12
Compostela,191,B ,17,54,,2,0,0,,,,0,1
Compostela,191,E1 ,9,27,,3,1,1,,,,0,2
Compostela,192,B ,181,148,,12,2,4,,,,0,0
Compostela,192,C1 ,151,177,,6,4,4,,,,0,8
Compostela,193,B ,31,73,,3,1,3,,,,0,4
Compostela,194,B ,124,41,,9,6,1,,,,0,5
Compostela,195,B ,103,69,,0,1,3,,,,0,12
Huajicori,196,B,,195,246,21,0,,,,,0,6
Huajicori,196,C1,,218,227,18,0,,,,,0,4
Huajicori,197,B,,206,195,8,3,,,,,0,6
Huajicori,197,C1,,229,206,12,2,,,,,0,7
Huajicori,198,B,,138,83,1,0,,,,,0,0
Huajicori,199,B,,97,97,4,1,,,,,0,0
Huajicori,200,B,,115,48,1,0,,,,,0,7
Huajicori,201,B,,70,49,0,0,,,,,0,0
Huajicori,201,E1,,46,36,1,0,,,,,0,3
Huajicori,202,B,,217,203,2,0,,,,,0,11
Huajicori,202,E1,,43,47,2,0,,,,,0,0
Huajicori,203,B,,73,105,0,0,,,,,0,0
Huajicori,203,E1,,23,146,0,1,,,,,0,1
Huajicori,203,E2,,65,98,3,0,,,,,0,9
Huajicori,204,B,,82,48,6,1,,,,,0,3
Huajicori,205,B,,95,63,0,2,,,,,0,7
Huajicori,206,B,,128,82,0,0,,,,,0,2
Huajicori,207,B,,62,38,1,0,,,,,0,0
Huajicori,207,E1,,38,17,3,0,,,,,0,1
Huajicori,207,E2,,35,44,3,0,,,,,0,5
Huajicori,208,B,,185,153,4,0,,,,,0,0
Huajicori,209,B,,29,37,0,0,,,,,0,1
Huajicori,209,E1,,56,35,0,0,,,,,0,0
Huajicori,210,B,,92,69,1,1,,,,,0,24
Huajicori,210,E1,,18,45,2,0,,,,,0,0
Huajicori,211,B,,116,85,0,0,,,,,0,4
Huajicori,212,B,,62,17,1,0,,,,,0,1
Huajicori,212,E1,,37,63,2,0,,,,,0,0
Huajicori,213,B,,42,17,1,0,,,,,0,0
Huajicori,213,E1,,73,62,2,0,,,,,0,3
Huajicori,214,B,,84,72,0,1,,,,,0,8
Huajicori,214,E1,,38,33,0,1,,,,,0,4
Ixtlán del Río,215,B,72,262,,213,5,,3,,,1,11
Ixtlán del Río,215,C1,81,262,,252,2,,16,,,0,10
Ixtlán del Río,216,B,121,268,,239,11,,8,,,0,20
Ixtlán del Río,216,C1,110,292,,204,7,,5,,,1,19
Ixtlán del Río,217,B,36,169,,130,3,,4,,,2,8
Ixtlán del Río,217,C1,35,173,,125,3,,5,,,0,8
Ixtlán del Río,218,B,54,216,,238,3,,10,,,0,10
Ixtlán del Río,218,C1,44,250,,224,4,,8,,,1,13
Ixtlán del Río,219,B,29,145,,148,4,,9,,,1,17
Ixtlán del Río,219,C1,38,154,,128,6,,6,,,1,11
Ixtlán del Río,220,B,39,165,,141,5,,5,,,0,10
Ixtlán del Río,220,C1,47,164,,123,5,,4,,,1,17
Ixtlán del Río,221,B,87,200,,165,2,,6,,,2,13
Ixtlán del Río,222,B,88,291,,169,2,,12,,,0,10
Ixtlán del Río,223,B,56,159,,126,2,,10,,,0,6
Ixtlán del Río,223,C1,54,178,,130,0,,4,,,0,9
Ixtlán del Río,224,B,107,258,,0,5,,0,,,8,9
Ixtlán del Río,225,B,53,223,,165,3,,8,,,0,0
Ixtlán del Río,226,B,50,241,,176,2,,12,,,2,8
Ixtlán del Río,227,B,59,167,,149,3,,4,,,0,9
Ixtlán del Río,228,B,51,148,,146,2,,0,,,0,0
Ixtlán del Río,229,B,48,196,,177,10,,6,,,0,18
Ixtlán del Río,230,B,25,151,,152,2,,9,,,0,9
Ixtlán del Río,230,C1,21,157,,168,5,,3,,,2,8
Ixtlán del Río,231,B,41,204,,250,3,,8,,,0,12
Ixtlán del Río,232,B,2,161,,21,0,,1,,,1,6
Ixtlán del Río,232,E1,3,95,,38,0,,0,,,0,6
Ixtlán del Río,232,E2,2,53,,23,0,,0,,,0,2
Ixtlán del Río,233,B,4,172,,54,2,,1,,,0,15
Ixtlán del Río,234,B,23,63,,63,1,,0,,,0,6
Ixtlán del Río,235,B,26,148,,70,0,,0,,,0,3
Ixtlán del Río,236,B,25,166,,118,2,,4,,,0,8
Ixtlán del Río,236,C1,24,197,,95,2,,6,,,0,18
Ixtlán del Río,237,B,5,61,,50,1,,2,,,0,5
Ixtlán del Río,238,B,27,104,,57,3,,4,,,0,11
Jala,239,B,137,249,,5,,,,,,2,15
Jala,240,B,11,205,,2,,,,,,0,14
Jala,241,B,253,386,,0,,,,,,3,13
Jala,242,B,303,342,,6,,,,,,0,8
Jala,243,B,150,260,,3,,,,,,1,7
Jala,244,B,282,425,,3,,,,,,0,10
Jala,245,B,41,83,,1,,,,,,0,0
Jala,246,B,16,116,,0,,,,,,0,2
Jala,246,E1,14,99,,0,,,,,,0,1
Jala,247,B,86,142,,3,,,,,,0,4
Jala,248,B,215,278,,0,,,,,,0,0
Jala,248,C1,219,263,,3,,,,,,0,6
Jala,249,B,379,349,,1,,,,,,1,5
Jala,250,B,195,330,,0,,,,,,0,0
Jala,251,B,165,227,,1,,,,,,0,5
Jala,252,B,319,409,,6,,,,,,0,16
Jala,252,E1,138,111,,1,,,,,,0,1
Jala,253,B,191,267,,5,,,,,,0,0
Jala,253,C1,162,287,,6,,,,,,0,8
Jala,254,B,250,357,,2,,,,,,0,6
Jala,255,B ,106,200,,1,,,,,,0,6
Jala,256,B,189,255,,8,,,,,,1,7
El Nayar,257,B,148,187,,2,,11,,,,0,11
El Nayar,257,C1,142,183,,5,,8,,,,0,13
El Nayar,258,B,214,364,,13,,51,,,,0,41
El Nayar,258,C1,260,319,,17,,43,,,,0,30
El Nayar,259,B,94,230,,12,,42,,,,0,61
El Nayar,259,C1,90,254,,11,,33,,,,0,48
El Nayar,259,E1,120,161,,31,,132,,,,0,0
El Nayar,259,E1C1,456,678,,5,,77,,,,0,0
El Nayar,260,B,174,103,,3,,24,,,,0,0
El Nayar,260,E1,89,63,,20,,4,,,,0,0
El Nayar,261,B,153,203,,12,,7,,,,0,15
El Nayar,262,B,82,246,,10,,3,,,,0,21
El Nayar,262,E1,155,46,,28,,0,,,,1,7
El Nayar,263,B,53,56,,0,,0,,,,0,0
El Nayar,264,B,118,108,,24,,35,,,,0,26
El Nayar,264,E1,50,50,,2,,4,,,,0,0
El Nayar,265,B,131,121,,6,,6,,,,0,18
El Nayar,266,B,121,211,,7,,9,,,,1,8
El Nayar,267,B,128,338,,45,,3,,,,0,39
El Nayar,267,C1,108,360,,45,,11,,,,0,29
El Nayar,267,E1,116,68,,34,,0,,,,0,0
El Nayar,267,E2,114,103,,5,,0,,,,0,0
El Nayar,268,B,143,180,,3,,1,,,,0,2
El Nayar,268,E1,48,134,,6,,5,,,,0,0
El Nayar,268,E2,101,230,,16,,17,,,,0,0
El Nayar,269,B,110,160,,8,,0,,,,1,24
El Nayar,269,C1,90,192,,4,,0,,,,3,16
El Nayar,270,B,280,176,,34,,0,,,,0,21
El Nayar,270,C1,241,179,,60,,0,,,,0,14
El Nayar,270,E1,160,161,,13,,7,,,,0,13
El Nayar,271,B,86,106,,11,,8,,,,0,4
El Nayar,271,E1,96,129,,15,,8,,,,0,0
El Nayar,272,B,139,285,,55,,7,,,,0,0
El Nayar,273,B,128,210,,24,,8,,,,0,0
El Nayar,273,E1,67,110,,76,,13,,,,0,0
El Nayar,274,B,200,210,,112,,1,,,,0,0
El Nayar,275,B ,32,85,,12,,16,,,,0,0
El Nayar,275,E1 ,92,99,,1,,0,,,,0,0
El Nayar,276,B ,12,199,,118,,1,,,,0,0
El Nayar,276,E1 ,71,122,,81,,4,,,,0,0
El Nayar,276,E2 ,125,78,,73,,10,,,,0,16
Rosamorada,277,B,56,375,,140,2,1,,18,,0,15
Rosamorada,277,E1,44,37,,8,1,1,,13,,0,3
Rosamorada,278,B,11,96,,56,0,2,,5,,0,6
Rosamorada,278,E1,91,95,,15,0,1,,5,,0,13
Rosamorada,279,B,17,64,,52,3,2,,1,,0,2
Rosamorada,280,B,36,92,,62,1,3,,0,,0,3
Rosamorada,281,B,82,165,,164,11,7,,28,,0,18
Rosamorada,282,B,40,214,,130,2,3,,18,,0,9
Rosamorada,283,B,148,184,,25,2,24,,2,,0,4
Rosamorada,284,B,4,57,,53,1,0,,9,,0,0
Rosamorada,285,B,117,98,,26,9,13,,21,,0,12
Rosamorada,286,B,104,238,,36,2,1,,42,,0,15
Rosamorada,286,E1,2,80,,38,1,5,,5,,0,4
Rosamorada,287,B,28,166,,128,1,8,,8,,0,0
Rosamorada,288,B,41,238,,242,2,22,,17,,0,20
Rosamorada,289,B,30,328,,159,2,3,,10,,0,22
Rosamorada,290,B,74,286,,74,4,13,,6,,0,7
Rosamorada,291,B,161,365,,39,5,6,,40,,0,31
Rosamorada,291,E1,22,32,,25,1,1,,17,,0,13
Rosamorada,292,B,85,95,,4,2,2,,0,,0,7
Rosamorada,292,E1,27,45,,10,0,0,,3,,0,13
Rosamorada,293,B,41,121,,15,0,4,,4,,0,0
Rosamorada,294,B,18,55,,33,0,1,,6,,0,8
Rosamorada,295,B,208,219,,18,0,0,,43,,0,32
Rosamorada,296,B,214,168,,1,0,0,,5,,0,11
Rosamorada,297,B,148,184,,0,0,1,,4,,1,8
Rosamorada,298,B,71,153,,88,0,6,,12,,0,48
Rosamorada,299,B,86,158,,76,0,12,,21,,0,0
