tla2010aycasilla,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ALIANZA POR EL PROGRESO DE TLAXCALA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,UNIDOS POR TLAXCALA,UNIDOS POR SAN PABLO,PARTIDO DE LA REVOLUCION DEMOCRATICA,FORTALEZA POR ESPAÑITA,PARA RECUPERAR PANOTLA,TRANSPARENCIA Y HONESTIDAD POR TLAXCALA,PARTIDO DEL TRABAJO,UNIDAD Y TRABAJO POR TLAXCALA,PARTIDO VERDE ECOLOGISTA DE MEXICO,CONVERGENCIA,PARTIDO SOCIALISTA,PARTIDO ALIANZA CIUDADANA,PARTIDO POPULAR,PARTIDO LIBERAL TLAXCALTECA,PARTIDO DEL PUEBLO TLAXCALTECA,VOTOS NULOS
ord,edon,secn,munn,mun,casilla,tipo,Pan-panal-pac,pri,Pri-pvem-ps,Pri-ps,prd,Prd-conve,Prd-pt,Prd-pt-conve,pt,Pt-conve,pvem,conve,ps,pac,pp,plt,ppt,nul
220,29,130,10,CHIAUTEMPAN,1,B,34,,75,,75,,,,,49,,,17,23,,0,5,10
221,29,130,10,CHIAUTEMPAN,1,C,65,,82,,80,,,,,43,,,2,1,,0,3,7
222,29,131,10,CHIAUTEMPAN,1,B,62,,68,,128,,,,,59,,,24,22,,0,8,11
223,29,131,10,CHIAUTEMPAN,1,C,68,,94,,129,,,,,75,,,21,23,,0,2,9
224,29,132,10,CHIAUTEMPAN,1,B,84,,80,,128,,,,,90,,,22,2,,0,2,13
225,29,132,10,CHIAUTEMPAN,1,C,55,,112,,130,,,,,70,,,22,11,,0,2,8
226,29,133,10,CHIAUTEMPAN,1,B,69,,114,,86,,,,,54,,,17,20,,0,3,18
227,29,133,10,CHIAUTEMPAN,1,C,69,,96,,80,,,,,54,,,25,21,,0,5,22
228,29,134,10,CHIAUTEMPAN,1,B,32,,73,,41,,,,,49,,,5,9,,0,4,0
229,29,134,10,CHIAUTEMPAN,1,C,33,,82,,54,,,,,49,,,8,0,,0,2,11
230,29,135,10,CHIAUTEMPAN,1,B,44,,98,,35,,,,,58,,,4,6,,0,2,7
231,29,135,10,CHIAUTEMPAN,1,C,42,,99,,32,,,,,79,,,15,6,,0,3,6
232,29,136,10,CHIAUTEMPAN,1,B,61,,134,,50,,,,,22,,,16,13,,0,4,22
233,29,137,10,CHIAUTEMPAN,1,B,73,,102,,88,,,,,85,,,9,10,,0,3,10
234,29,137,10,CHIAUTEMPAN,1,C,59,,94,,117,,,,,65,,,15,20,,0,7,16
235,29,137,10,CHIAUTEMPAN,2,C,64,,102,,85,,,,,95,,,17,14,,0,6,17
236,29,138,10,CHIAUTEMPAN,1,B,73,,80,,124,,,,,78,,,21,9,,0,1,18
237,29,138,10,CHIAUTEMPAN,1,C,85,,81,,109,,,,,87,,,28,11,,0,2,17
238,29,139,10,CHIAUTEMPAN,1,B,69,,100,,91,,,,,73,,,27,9,,0,2,13
239,29,139,10,CHIAUTEMPAN,1,C,84,,86,,102,,,,,71,,,17,2,,0,5,15
240,29,139,10,CHIAUTEMPAN,2,C,69,,97,,102,,,,,61,,,27,12,,0,6,13
241,29,139,10,CHIAUTEMPAN,3,C,80,,81,,109,,,,,67,,,26,9,,0,7,9
242,29,140,10,CHIAUTEMPAN,1,B,45,,112,,83,,,,,69,,,14,17,,0,8,19
243,29,140,10,CHIAUTEMPAN,1,C,48,,118,,90,,,,,105,,,14,12,,0,4,8
244,29,141,10,CHIAUTEMPAN,1,B,57,,120,,112,,,,,85,,,9,15,,0,8,23
245,29,141,10,CHIAUTEMPAN,1,C,64,,150,,109,,,,,90,,,7,19,,0,11,17
246,29,141,10,CHIAUTEMPAN,2,C,52,,124,,106,,,,,109,,,8,19,,0,9,10
247,29,141,10,CHIAUTEMPAN,3,C,61,,114,,104,,,,,87,,,14,20,,0,18,23
248,29,141,10,CHIAUTEMPAN,4,C,47,,124,,99,,,,,113,,,15,20,,0,5,17
249,29,142,10,CHIAUTEMPAN,1,B,62,,131,,123,,,,,91,,,13,18,,0,8,28
250,29,142,10,CHIAUTEMPAN,1,C,67,,141,,125,,,,,132,,,12,21,,0,7,24
251,29,143,10,CHIAUTEMPAN,1,B,94,,87,,83,,,,,106,,,43,10,,0,4,16
252,29,143,10,CHIAUTEMPAN,1,C,89,,99,,132,,,,,101,,,29,10,,0,8,20
253,29,144,10,CHIAUTEMPAN,1,B,81,,131,,110,,,,,101,,,14,10,,0,7,13
254,29,144,10,CHIAUTEMPAN,1,C,59,,155,,114,,,,,91,,,27,6,,0,2,15
255,29,144,10,CHIAUTEMPAN,2,C,70,,131,,95,,,,,98,,,25,8,,0,5,16
256,29,145,10,CHIAUTEMPAN,1,B,96,,104,,76,,,,,111,,,15,9,,0,8,21
257,29,145,10,CHIAUTEMPAN,1,C,74,,104,,71,,,,,121,,,20,9,,0,4,22
258,29,150,10,CHIAUTEMPAN,1,E,39,,34,,51,,,,,37,,,3,3,,0,0,4
259,29,150,10,CHIAUTEMPAN,2,E,31,,41,,31,,,,,32,,,4,3,,0,0,11
260,29,146,10,CHIAUTEMPAN,1,B,49,,131,,80,,,,,119,,,6,25,,0,10,17
261,29,146,10,CHIAUTEMPAN,1,C,48,,93,,74,,,,,141,,,14,22,,0,7,15
262,29,147,10,CHIAUTEMPAN,1,B,78,,93,,158,,,,,38,,,10,1,,0,3,12
263,29,147,10,CHIAUTEMPAN,1,C,91,,63,,142,,,,,52,,,6,4,,0,15,19
264,29,148,10,CHIAUTEMPAN,1,B,86,,54,,120,,,,,61,,,8,6,,0,12,10
265,29,148,10,CHIAUTEMPAN,1,C,67,,84,,103,,,,,48,,,11,7,,0,27,10
266,29,149,10,CHIAUTEMPAN,1,B,67,,90,,61,,,,,49,,,9,11,,0,5,10
267,29,149,10,CHIAUTEMPAN,1,C,60,,85,,85,,,,,33,,,8,11,,0,3,3
268,29,149,10,CHIAUTEMPAN,2,C,69,,96,,69,,,,,37,,,7,6,,0,5,11
269,29,149,10,CHIAUTEMPAN,3,C,75,,82,,69,,,,,43,,,5,8,,0,5,14
270,29,156,10,CHIAUTEMPAN,1,B,78,,76,,59,,,,,97,,,9,5,,0,6,21
271,29,156,10,CHIAUTEMPAN,1,C,94,,71,,64,,,,,88,,,3,2,,0,6,13
272,29,157,10,CHIAUTEMPAN,1,B,48,,43,,44,,,,,74,,,5,2,,2,1,15
273,29,157,10,CHIAUTEMPAN,1,C,63,,41,,48,,,,,70,,,9,3,,0,3,9
545,29,161,11,MUNOZ DE DOMINGO ARENAS,1,B,40,,86,,71,,,,,161,,,42,,,,147,17
546,29,161,11,MUNOZ DE DOMINGO ARENAS,1,C,30,,97,,71,,,,,141,,,59,,,,158,28
547,29,162,11,MUNOZ DE DOMINGO ARENAS,1,B,83,,55,,7,,,,,32,,,121,,,,9,15
548,29,162,11,MUNOZ DE DOMINGO ARENAS,1,C,53,,79,,16,,,,,24,,,102,,,,20,13
549,29,163,11,MUNOZ DE DOMINGO ARENAS,1,B,27,,61,,50,,,,,35,,,97,,,,16,9
550,29,164,11,MUNOZ DE DOMINGO ARENAS,1,B,14,,32,,29,,,,,26,,,54,,,,18,7
353,29,165,12,ESPANITA,1,B,127,,48,,,56,,,19,,,,154,8,37,56,,31
354,29,165,12,ESPANITA,1,C,154,,41,,,44,,,12,,,,136,8,20,78,,29
355,29,166,12,ESPANITA,1,B,9,,9,,,4,,,1,,,,3,1,4,9,,1
356,29,167,12,ESPANITA,1,B,34,,23,,,7,,,16,,,,41,7,5,17,,11
357,29,168,12,ESPANITA,1,B,130,,31,,,24,,,14,,,,79,14,55,21,,32
358,29,169,12,ESPANITA,1,B,32,,19,,,11,,,26,,,,21,2,6,22,,4
359,29,170,12,ESPANITA,1,B,126,,50,,,56,,,24,,,,40,5,5,43,,23
360,29,171,12,ESPANITA,1,B,18,,20,,,15,,,6,,,,30,5,3,46,,11
361,29,172,12,ESPANITA,1,B,37,,19,,,8,,,8,,,,30,5,16,28,,11
362,29,173,12,ESPANITA,1,B,27,,46,,,17,,,6,,,,33,3,10,6,,18
363,29,174,12,ESPANITA,1,B,54,,20,,,7,,,7,,,,14,1,2,9,,8
364,29,175,12,ESPANITA,1,B,104,,38,,,53,,,5,,,,50,3,43,26,,7
365,29,176,12,ESPANITA,1,B,48,,31,,,57,,,27,,,,16,3,5,26,,20
366,29,177,12,ESPANITA,1,B,27,,7,,,3,,,9,,,,135,5,12,19,,10
367,29,178,13,HUAMANTLA,1,B,113,,231,,32,,,,9,,,,,4,8,,,13
368,29,178,13,HUAMANTLA,1,C,94,,247,,20,,,,15,,,,,20,5,,,14
369,29,178,13,HUAMANTLA,2,C,129,,248,,37,,,,4,,,,,4,5,,,9
370,29,178,13,HUAMANTLA,3,C,96,,244,,42,,,,6,,,,,8,6,,,13
371,29,179,13,HUAMANTLA,1,B,114,,256,,28,,,,6,,,,,10,6,,,37
372,29,179,13,HUAMANTLA,1,C,104,,224,,32,,,,11,,,,,8,8,,,65
373,29,179,13,HUAMANTLA,2,C,105,,232,,36,,,,7,,,,,9,3,,,21
374,29,179,13,HUAMANTLA,3,C,117,,240,,25,,,,2,,,,,6,6,,,17
375,29,181,13,HUAMANTLA,1,B,127,,230,,14,,,,5,,,,,2,11,,,10
376,29,181,13,HUAMANTLA,1,C,122,,241,,21,,,,11,,,,,6,7,,,13
377,29,181,13,HUAMANTLA,2,C,130,,226,,24,,,,8,,,,,5,13,,,23
378,29,182,13,HUAMANTLA,1,B,90,,194,,21,,,,4,,,,,7,5,,,29
379,29,182,13,HUAMANTLA,1,C,109,,174,,22,,,,4,,,,,13,5,,,11
380,29,183,13,HUAMANTLA,1,B,137,,328,,30,,,,5,,,,,6,1,,,14
381,29,183,13,HUAMANTLA,1,C,99,,306,,24,,,,6,,,,,6,9,,,20
382,29,184,13,HUAMANTLA,1,B,97,,180,,18,,,,2,,,,,9,1,,,0
383,29,184,13,HUAMANTLA,1,C,84,,222,,19,,,,7,,,,,8,2,,,11
384,29,185,13,HUAMANTLA,1,B,111,,217,,28,,,,9,,,,,6,8,,,9
385,29,185,13,HUAMANTLA,1,C,94,,215,,22,,,,3,,,,,5,2,,,15
386,29,186,13,HUAMANTLA,1,B,142,,184,,25,,,,4,,,,,3,11,,,15
387,29,186,13,HUAMANTLA,1,C,132,,192,,27,,,,6,,,,,3,11,,,22
388,29,187,13,HUAMANTLA,1,B,117,,183,,23,,,,2,,,,,4,12,,,11
389,29,187,13,HUAMANTLA,1,C,93,,195,,18,,,,9,,,,,10,11,,,10
390,29,187,13,HUAMANTLA,2,C,115,,185,,23,,,,3,,,,,10,12,,,6
391,29,188,13,HUAMANTLA,1,B,101,,194,,30,,,,2,,,,,6,7,,,11
392,29,188,13,HUAMANTLA,1,C,89,,221,,28,,,,3,,,,,10,7,,,14
393,29,188,13,HUAMANTLA,2,C,113,,194,,30,,,,7,,,,,7,7,,,15
394,29,188,13,HUAMANTLA,3,C,113,,186,,15,,,,5,,,,,18,11,,,147
395,29,189,13,HUAMANTLA,1,B,130,,219,,32,,,,5,,,,,5,4,,,12
396,29,189,13,HUAMANTLA,1,C,141,,225,,35,,,,0,,,,,5,0,,,0
397,29,190,13,HUAMANTLA,1,B,81,,160,,23,,,,4,,,,,7,0,,,14
398,29,190,13,HUAMANTLA,1,C,73,,152,,13,,,,7,,,,,8,6,,,17
399,29,191,13,HUAMANTLA,1,B,105,,199,,17,,,,5,,,,,11,11,,,13
400,29,191,13,HUAMANTLA,1,C,92,,192,,23,,,,10,,,,,9,4,,,16
401,29,192,13,HUAMANTLA,1,B,106,,187,,26,,,,5,,,,,11,5,,,29
402,29,192,13,HUAMANTLA,1,C,126,,148,,42,,,,13,,,,,22,8,,,17
403,29,192,13,HUAMANTLA,2,C,127,,147,,24,,,,15,,,,,14,8,,,17
404,29,193,13,HUAMANTLA,1,B,127,,267,,16,,,,25,,,,,11,13,,,21
405,29,194,13,HUAMANTLA,1,B,118,,234,,18,,,,16,,,,,12,3,,,20
406,29,194,13,HUAMANTLA,1,C,118,,216,,29,,,,21,,,,,16,7,,,18
407,29,194,13,HUAMANTLA,2,C,99,,242,,30,,,,16,,,,,7,10,,,23
408,29,195,13,HUAMANTLA,1,B,125,,217,,26,,,,9,,,,,15,16,,,26
409,29,195,13,HUAMANTLA,1,C,124,,242,,29,,,,15,,,,,12,5,,,14
410,29,196,13,HUAMANTLA,1,B,81,,172,,5,,,,5,,,,,12,2,,,29
411,29,196,13,HUAMANTLA,1,C,96,,174,,8,,,,8,,,,,6,1,,,19
412,29,199,13,HUAMANTLA,1,B,90,,285,,32,,,,7,,,,,4,1,,,17
413,29,200,13,HUAMANTLA,1,B,139,,216,,65,,,,1,,,,,15,10,,,23
414,29,200,13,HUAMANTLA,1,C,110,,229,,80,,,,6,,,,,9,11,,,12
415,29,205,13,HUAMANTLA,1,B,92,,65,,7,,,,1,,,,,0,0,,,0
416,29,206,13,HUAMANTLA,1,B,217,,217,,30,,,,24,,,,,77,2,,,33
417,29,207,13,HUAMANTLA,1,B,80,,285,,64,,,,7,,,,,8,2,,,14
418,29,208,13,HUAMANTLA,1,B,173,,194,,32,,,,15,,,,,45,2,,,0
419,29,209,13,HUAMANTLA,1,B,166,,267,,23,,,,7,,,,,29,2,,,17
420,29,210,13,HUAMANTLA,1,B,65,,56,,6,,,,1,,,,,1,0,,,2
421,29,211,13,HUAMANTLA,1,B,156,,347,,30,,,,4,,,,,5,2,,,27
422,29,215,13,HUAMANTLA,1,B,83,,87,,11,,,,1,,,,,11,0,,,8
423,29,216,13,HUAMANTLA,1,B,141,,229,,8,,,,11,,,,,32,2,,,43
424,29,217,13,HUAMANTLA,1,B,110,,239,,27,,,,2,,,,,5,3,,,16
425,29,218,13,HUAMANTLA,1,B,107,,215,,32,,,,6,,,,,28,8,,,16
426,29,219,13,HUAMANTLA,1,B,149,,166,,32,,,,7,,,,,16,7,,,24
427,29,180,13,HUAMANTLA,1,B,113,,300,,17,,,,15,,,,,7,5,,,25
428,29,180,13,HUAMANTLA,1,C,109,,299,,32,,,,16,,,,,17,5,,,15
429,29,180,13,HUAMANTLA,2,C,132,,272,,26,,,,11,,,,,4,11,,,32
430,29,197,13,HUAMANTLA,1,B,49,,49,,19,,,,3,,,,,3,8,,,4
431,29,198,13,HUAMANTLA,1,B,134,,122,,13,,,,4,,,,,11,5,,,9
432,29,201,13,HUAMANTLA,1,B,135,,247,,34,,,,13,,,,,11,5,,,31
433,29,201,13,HUAMANTLA,1,C,137,,216,,29,,,,7,,,,,22,9,,,34
434,29,201,13,HUAMANTLA,2,C,121,,194,,41,,,,12,,,,,19,7,,,54
435,29,201,13,HUAMANTLA,3,C,122,,225,,39,,,,6,,,,,12,8,,,32
436,29,202,13,HUAMANTLA,1,B,84,,181,,24,,,,8,,,,,8,4,,,20
437,29,203,13,HUAMANTLA,1,B,124,,173,,38,,,,9,,,,,16,9,,,28
438,29,203,13,HUAMANTLA,1,C,157,,175,,25,,,,2,,,,,5,6,,,24
439,29,203,13,HUAMANTLA,2,C,119,,199,,24,,,,12,,,,,9,12,,,0
440,29,204,13,HUAMANTLA,1,B,135,,222,,66,,,,5,,,,,16,12,,,33
441,29,204,13,HUAMANTLA,1,C,132,,230,,46,,,,11,,,,,8,18,,,33
442,29,212,13,HUAMANTLA,1,B,110,,128,,10,,,,9,,,,,3,6,,,12
443,29,213,13,HUAMANTLA,1,B,109,,235,,62,,,,10,,,,,23,25,,,38
444,29,213,13,HUAMANTLA,1,C,107,,240,,65,,,,6,,,,,41,7,,,26
445,29,213,13,HUAMANTLA,2,C,131,,260,,60,,,,6,,,,,26,24,,,33
446,29,214,13,HUAMANTLA,1,B,138,,298,,55,,,,13,,,,,35,11,,,29
447,29,214,13,HUAMANTLA,1,C,128,,307,,0,,,,0,,,,,24,18,,,43
448,29,220,14,HUEYOTLIPAN,1,B,122,,41,,4,,,,10,,,,,43,160,,6,9
449,29,220,14,HUEYOTLIPAN,1,C,109,,39,,1,,,,9,,,,,53,151,,8,20
450,29,220,14,HUEYOTLIPAN,2,C,132,,21,,5,,,,15,,,,,46,174,,12,13
451,29,221,14,HUEYOTLIPAN,1,B,122,,29,,4,,,,7,,,,,63,138,,3,24
452,29,221,14,HUEYOTLIPAN,1,C,134,,26,,1,,,,16,,,,,48,153,,4,13
453,29,221,14,HUEYOTLIPAN,2,C,137,,10,,3,,,,13,,,,,75,168,,9,12
454,29,222,14,HUEYOTLIPAN,1,B,89,,49,,26,,,,8,,,,,29,113,,3,14
455,29,222,14,HUEYOTLIPAN,1,C,82,,45,,16,,,,3,,,,,22,135,,2,22
456,29,223,14,HUEYOTLIPAN,1,B,75,,22,,2,,,,11,,,,,11,90,,0,18
457,29,224,14,HUEYOTLIPAN,1,B,225,,20,,7,,,,5,,,,,8,162,,6,5
458,29,225,14,HUEYOTLIPAN,1,B,54,,18,,8,,,,14,,,,,5,57,,2,10
459,29,226,14,HUEYOTLIPAN,1,B,87,,111,,4,,,,6,,,,,26,64,,1,21
460,29,227,14,HUEYOTLIPAN,1,B,124,,62,,17,,,,21,,,,,27,142,,3,14
461,29,228,14,HUEYOTLIPAN,1,B,53,,141,,67,,,,11,,,,,13,25,,3,29
462,29,228,14,HUEYOTLIPAN,1,C,29,,159,,77,,,,21,,,,,11,26,,3,32
463,29,228,14,HUEYOTLIPAN,2,C,22,,151,,76,,,,17,,,,,13,37,,3,4
464,29,228,14,HUEYOTLIPAN,3,C,36,,191,,63,,,,10,,,,,9,39,,2,22
465,29,229,14,HUEYOTLIPAN,1,B,3,,27,,18,,,,7,,,,,11,11,,1,7
466,29,230,14,HUEYOTLIPAN,1,B,40,,69,,51,,,,15,,,,,15,147,,1,0
467,29,231,14,HUEYOTLIPAN,1,B,29,,47,,2,,,,11,,,,,6,29,,9,7
468,29,232,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,109,,196,,,,,21,,,,,,,,,,9
469,29,232,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,97,,186,,,,,21,,,,,,,,,,0
470,29,232,15,IXTACUIXTLA DE MARIANO MATAMOROS,2,C,100,,219,,,,,27,,,,,,,,,,10
471,29,233,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,170,,236,,,,,30,,,,,,,,,,12
472,29,233,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,205,,212,,,,,38,,,,,,,,,,19
473,29,234,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,181,,155,,,,,18,,,,,,,,,,14
474,29,234,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,179,,158,,,,,18,,,,,,,,,,11
475,29,235,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,60,,59,,,,,10,,,,,,,,,,7
476,29,236,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,97,,53,,,,,14,,,,,,,,,,5
477,29,237,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,86,,93,,,,,12,,,,,,,,,,6
478,29,238,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,69,,65,,,,,13,,,,,,,,,,5
479,29,239,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,159,,98,,,,,4,,,,,,,,,,6
480,29,240,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,143,,214,,,,,37,,,,,,,,,,25
481,29,241,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,172,,185,,,,,53,,,,,,,,,,15
482,29,241,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,136,,172,,,,,43,,,,,,,,,,29
483,29,242,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,89,,185,,,,,42,,,,,,,,,,10
484,29,242,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,82,,139,,,,,56,,,,,,,,,,10
485,29,243,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,102,,88,,,,,6,,,,,,,,,,5
486,29,244,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,72,,140,,,,,41,,,,,,,,,,15
487,29,245,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,110,,259,,,,,68,,,,,,,,,,13
488,29,245,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,146,,255,,,,,72,,,,,,,,,,11
489,29,245,15,IXTACUIXTLA DE MARIANO MATAMOROS,2,C,112,,277,,,,,67,,,,,,,,,,17
490,29,246,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,146,,234,,,,,58,,,,,,,,,,20
491,29,247,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,147,,225,,,,,66,,,,,,,,,,19
492,29,247,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,211,,207,,,,,42,,,,,,,,,,19
493,29,248,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,97,,250,,,,,28,,,,,,,,,,9
494,29,248,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,125,,225,,,,,34,,,,,,,,,,10
495,29,249,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,170,,115,,,,,35,,,,,,,,,,17
496,29,250,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,182,,301,,,,,73,,,,,,,,,,17
497,29,251,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,178,,194,,,,,150,,,,,,,,,,10
498,29,251,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,171,,181,,,,,126,,,,,,,,,,20
499,29,251,15,IXTACUIXTLA DE MARIANO MATAMOROS,2,C,154,,202,,,,,124,,,,,,,,,,24
500,29,252,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,132,,274,,,,,29,,,,,,,,,,0
501,29,252,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,154,,285,,,,,41,,,,,,,,,,9
502,29,253,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,128,,258,,,,,46,,,,,,,,,,10
503,29,253,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,114,,294,,,,,43,,,,,,,,,,6
504,29,256,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,199,,155,,,,,32,,,,,,,,,,13
505,29,256,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,166,,131,,,,,52,,,,,,,,,,0
506,29,257,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,94,,100,,,,,41,,,,,,,,,,7
507,29,257,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,C,78,,116,,,,,30,,,,,,,,,,11
508,29,258,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,B,74,,102,,,,,34,,,,,,,,,,8
509,29,259,16,IXTENCO,1,B,60,,88,,18,,,,11,,,49,56,107,,13,,23
510,29,259,16,IXTENCO,1,C,66,,75,,47,,,,5,,,45,58,89,,16,,27
511,29,260,16,IXTENCO,1,B,44,,68,,27,,,,6,,,38,66,103,,15,,21
512,29,260,16,IXTENCO,1,C,44,,68,,27,,,,6,,,38,66,103,,15,,21
513,29,261,16,IXTENCO,1,B,49,,73,,28,,,,9,,,64,99,95,,7,,27
514,29,261,16,IXTENCO,1,C,43,,49,,19,,,,4,,,41,71,39,,9,,28
515,29,262,16,IXTENCO,1,B,46,,45,,25,,,,5,,,51,56,51,,8,,13
516,29,262,16,IXTENCO,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,29,263,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,B,36,,69,,189,,,,,,,,,86,,,36,8
537,29,263,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,C,67,,66,,195,,,,,,,,,74,,,34,10
538,29,263,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,2,C,25,,73,,215,,,,,,,,,94,,,21,12
539,29,264,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,B,92,,158,,162,,,,,,,,,100,,,35,11
540,29,264,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,C,63,,216,,112,,,,,,,,,112,,,32,16
541,29,265,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,B,144,,99,,140,,,,,,,,,125,,,23,12
542,29,265,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,C,98,,114,,171,,,,,,,,,144,,,16,8
543,29,266,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,B,73,,77,,169,,,,,,,,,137,,,24,22
544,29,266,17,MAZATECOCHCO DE JOSE MARIA MORELOSS,1,C,84,,75,,208,,,,,,,,,121,,,16,0
274,29,267,18,CONTLA DE JUAN CUAMATZI,1,B,136,219,,,20,,,,,,113,,21,,,,,11
275,29,267,18,CONTLA DE JUAN CUAMATZI,1,C,151,235,,,11,,,,,,86,,16,,,,,27
276,29,268,18,CONTLA DE JUAN CUAMATZI,1,B,168,166,,,15,,,,,,65,,15,,,,,6
277,29,268,18,CONTLA DE JUAN CUAMATZI,1,C,168,143,,,16,,,,,,48,,10,,,,,11
278,29,268,18,CONTLA DE JUAN CUAMATZI,2,C,152,166,,,5,,,,,,57,,8,,,,,15
279,29,269,18,CONTLA DE JUAN CUAMATZI,1,B,140,216,,,13,,,,,,84,,10,,,,,11
280,29,269,18,CONTLA DE JUAN CUAMATZI,1,C,118,220,,,16,,,,,,80,,16,,,,,17
281,29,270,18,CONTLA DE JUAN CUAMATZI,1,B,117,124,,,14,,,,,,55,,8,,,,,14
282,29,270,18,CONTLA DE JUAN CUAMATZI,1,C,146,130,,,9,,,,,,59,,5,,,,,9
283,29,271,18,CONTLA DE JUAN CUAMATZI,1,B,167,260,,,14,,,,,,87,,6,,,,,12
284,29,271,18,CONTLA DE JUAN CUAMATZI,1,C,169,240,,,12,,,,,,114,,7,,,,,12
285,29,272,18,CONTLA DE JUAN CUAMATZI,1,B,151,218,,,12,,,,,,58,,7,,,,,8
286,29,272,18,CONTLA DE JUAN CUAMATZI,1,C,152,206,,,24,,,,,,72,,7,,,,,0
287,29,272,18,CONTLA DE JUAN CUAMATZI,2,C,144,162,,,12,,,,,,68,,9,,,,,13
288,29,272,18,CONTLA DE JUAN CUAMATZI,3,C,144,220,,,15,,,,,,80,,6,,,,,7
289,29,273,18,CONTLA DE JUAN CUAMATZI,1,B,128,192,,,14,,,,,,55,,9,,,,,13
290,29,273,18,CONTLA DE JUAN CUAMATZI,1,C,105,168,,,9,,,,,,67,,6,,,,,14
291,29,273,18,CONTLA DE JUAN CUAMATZI,2,C,102,165,,,9,,,,,,76,,8,,,,,17
292,29,274,18,CONTLA DE JUAN CUAMATZI,1,B,115,134,,,23,,,,,,102,,11,,,,,4
293,29,274,18,CONTLA DE JUAN CUAMATZI,1,C,94,143,,,32,,,,,,85,,6,,,,,14
294,29,275,18,CONTLA DE JUAN CUAMATZI,1,B,149,142,,,11,,,,,,141,,22,,,,,14
295,29,275,18,CONTLA DE JUAN CUAMATZI,1,C,126,134,,,6,,,,,,173,,19,,,,,13
296,29,276,18,CONTLA DE JUAN CUAMATZI,1,B,127,185,,,12,,,,,,158,,31,,,,,13
297,29,276,18,CONTLA DE JUAN CUAMATZI,1,C,119,190,,,10,,,,,,202,,23,,,,,10
298,29,277,18,CONTLA DE JUAN CUAMATZI,1,B,91,110,,,10,,,,,,50,,13,,,,,17
299,29,278,18,CONTLA DE JUAN CUAMATZI,1,B,60,95,,,6,,,,,,82,,6,,,,,14
300,29,279,18,CONTLA DE JUAN CUAMATZI,1,B,66,286,,,47,,,,,,56,,6,,,,,16
301,29,279,18,CONTLA DE JUAN CUAMATZI,1,C,68,304,,,36,,,,,,55,,6,,,,,11
302,29,280,18,CONTLA DE JUAN CUAMATZI,1,B,66,74,,,8,,,,,,88,,8,,,,,6
