sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,512|831|64.53|1,498|14|53.836

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|CUERNAVACA NORTE|193|1|B|0|1|11|341|279|2|38|50|49|4|25|13|8|32|25|10|5|-|-|-|-|-|-|2|23|284|604| |1| |03758aee969ec8b541b1ba671be364fda3bf5f609989df261f05e905fe88d83a|2015-06-08 06:18:00.000|2015-06-08 06:21:26.879|2015-06-08 06:21:30.277|
17|MORELOS|1|CUERNAVACA NORTE|193|1|C|0|1|11|344|275|281|39|45|48|2|20|13|11|38|20|18|12|-|-|-|-|-|-|1|14|281|604| |1| |a6f1e81ba20f478af1807bb9957c54fc27f0f5aa87709b0d6b5a639b8eb090da|2015-06-08 06:49:00.000|2015-06-08 06:51:01.376|2015-06-08 06:51:04.808|
17|MORELOS|1|CUERNAVACA NORTE|193|2|C|0|1|11|308|317|317|47|59|34|2|20|24|6|44|38|12|13|-|-|-|-|-|-|2|16|317|604| |1| |3cc408fb931cc8939b66aea20638085b1df0accbc164b33c7cfbf1a1a6231f86|2015-06-08 01:00:00.000|2015-06-08 01:01:25.175|2015-06-08 01:01:27.801|
17|MORELOS|1|CUERNAVACA NORTE|193|3|C|0|1|11|303|316|322|46|58|54|0|20|14|2|54|35|14|7|-|-|-|-|-|-|0|18|322|603| |1| |b4d7926bdda6b51a7ed6bb66c2612ac448e8f791a374fb6d03a51f41b5a98633|2015-06-08 06:24:00.000|2015-06-08 06:27:44.454|2015-06-08 06:27:47.764|
17|MORELOS|1|CUERNAVACA NORTE|193|4|C|0|1|11|193|297|297|36|53|35|2|21|20|9|50|39|13|5|-|-|-|-|-|-|Sin dato|14|297|603| |1| |f8782d396ff0265014e893811588af70009ff314c5af247bebff95f7a221accc|2015-06-08 09:39:00.000|2015-06-08 09:43:42.121|2015-06-08 09:43:44.165|
17|MORELOS|1|CUERNAVACA NORTE|200|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |608| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|200|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |608| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|200|2|C|0|1|11|297|326|330|39|38|58|9|32|19|5|36|30|28|15|-|-|-|-|-|-|0|20|329|607| |1| |52a71120092c5410a64c46c0ba921bb5e585811610b29c91f08b2cfe3f935fb1|2015-06-08 09:59:00.000|2015-06-08 10:01:54.289|2015-06-08 10:01:57.373|
17|MORELOS|1|CUERNAVACA NORTE|201|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |716| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|201|1|C|0|1|11|368|360|360|50|58|67|4|23|9|8|51|36|16|11|-|-|-|-|-|-|2|27|362|715| |1| |f452e376310585edb3eb573cda82269a4ecdcaed57d0fcdeae2fa82fd7086f54|2015-06-08 08:42:00.000|2015-06-08 08:46:43.256|2015-06-08 08:46:46.158|
17|MORELOS|1|CUERNAVACA NORTE|202|1|B|0|1|11|381|333|336|45|37|49|4|21|16|8|67|36|20|10|-|-|-|-|-|-|1|21|335|696| |1| |5f59d6672a18a09e629d0c497dad22b47dafc690c53a13076f609460e920c56a|2015-06-08 07:30:00.000|2015-06-08 07:32:02.712|2015-06-08 07:32:11.579|
17|MORELOS|1|CUERNAVACA NORTE|202|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |695| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|202|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |695| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|203|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |555| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|203|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |554| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|203|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |554| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|204|1|B|0|1|11|401|302|309|34|34|43|1|28|19|6|33|45|18|6|-|-|-|-|-|-|1|41|309|688| |1| |1eae73d019c6d9c517680cc9eb9b78fee48d31e99dcba4e0687ff915282aeb1f|2015-06-08 06:45:00.000|2015-06-08 06:46:21.911|2015-06-08 06:46:25.140|
17|MORELOS|1|CUERNAVACA NORTE|204|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |687| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|204|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |687| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|205|1|B|0|1|11|363|275|280|38|29|2|4|18|19|9|24|42|18|7|-|-|-|-|-|-|2|38|250|625| |1| |d3eb190e3e755c6239d50fcd0a29896ffa74adcc2955f205c113c4dac3c13344|2015-06-08 01:16:00.000|2015-06-08 01:17:04.193|2015-06-08 01:17:07.485|
17|MORELOS|1|CUERNAVACA NORTE|205|1|C|0|1|11|343|298|303|57|43|35|3|13|17|9|41|24|22|12|-|-|-|-|-|-|1|26|303|625| |1| |0d01a620753b62dd851d3a71531eaed3f6249ae6e703a18f6e80011283d67efc|2015-06-08 00:59:00.000|2015-06-08 00:59:56.238|2015-06-08 00:59:59.793|
17|MORELOS|1|CUERNAVACA NORTE|205|2|C|0|1|11|344|297|302|53|49|39|4|21|17|5|29|31|12|6|-|-|-|-|-|-|2|34|302|625| |1| |e48099e0b3816dfa0fd5f3300783ad7ca7a667e267f00b7c3167e54e0ca23a54|2015-06-08 03:24:00.000|2015-06-08 03:26:15.198|2015-06-08 03:26:22.176|
17|MORELOS|1|CUERNAVACA NORTE|205|3|C|0|1|11|362|275|284|33|38|28|8|14|15|6|30|41|26|12|-|-|-|-|-|-|0|33|284|625| |1| |2bac370f6686f6ab6724182553fb63eb86747a380f87b938c447794e29562dd0|2015-06-08 00:50:00.000|2015-06-08 00:52:43.991|2015-06-08 00:52:56.051|
17|MORELOS|1|CUERNAVACA NORTE|206|1|B|0|1|11|247|319|319|65|59|59|1|22|8|4|29|22|18|14|-|-|-|-|-|-|1|17|319|545| |1| |05592a7122fdfee12f5ca52650dc5e90184baa928e98d93563a8606bc2ce575f|2015-06-08 00:17:00.000|2015-06-08 00:19:26.580|2015-06-08 00:19:30.256|
17|MORELOS|1|CUERNAVACA NORTE|206|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |544| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|206|2|C|0|1|11|264|294|300|59|62|57|1|14|16|6|30|21|11|11|-|-|-|-|-|-|3|9|300|544| |1| |b0a8f1ff88adc20bd06383b738d853af079af600c4d89efa50f35cfe1b434f01|2015-06-08 01:35:00.000|2015-06-08 01:36:50.572|2015-06-08 01:36:53.908|
17|MORELOS|1|CUERNAVACA NORTE|207|1|B|0|1|11|334|297|296|58|52|42|5|28|19|7|28|14|15|8|-|-|-|-|-|-|0|19|295|610| |1| | |2015-06-07 12:00:00.000|2015-06-08 19:58:31.512|2015-06-08 19:58:32.071|
17|MORELOS|1|CUERNAVACA NORTE|207|1|C|0|1|11|311|319|320|86|46|31|9|18|11|8|40|14|15|10|-|-|-|-|-|-|6|26|320|609| |1| |f5de06151f119b0fc4b8e1fcf721af270ff3078bd9cb591af1541f417e86c58a|2015-06-08 02:09:00.000|2015-06-08 02:09:50.527|2015-06-08 02:09:54.344|
17|MORELOS|1|CUERNAVACA NORTE|207|2|C|0|1|11|301|317|327|65|67|35|2|22|10|5|32|23|23|9|-|-|-|-|-|-|0|32|325|609| |1| |2dcd712b8191635d4a3f18730629cf2a619027f6676dae8033e555220c589e91|2015-06-08 03:01:00.000|2015-06-08 03:01:45.362|2015-06-08 03:01:47.742|
17|MORELOS|1|CUERNAVACA NORTE|207|3|C|0|1|11|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|-|-|-|-|-|Ilegible|Ilegible|0|609| |1| |fd855dd7c240c192d7acfb5c3625cca1af29d61a77fdbb945047d33eb5a0a51b|2015-06-08 00:22:00.000|2015-06-08 00:24:30.289|2015-06-08 00:24:34.609|
17|MORELOS|1|CUERNAVACA NORTE|208|1|B|0|1|11|Sin dato|Sin dato|Sin dato|96|54|31|4|16|8|5|44|29|15|16|-|-|-|-|-|-|0|15|333|585| |1| | |2015-06-07 12:00:00.000|2015-06-08 19:59:41.533|2015-06-08 19:59:42.102|
17|MORELOS|1|CUERNAVACA NORTE|208|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |585| | | | | | | |
