sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,761|563|75.77|1,748|13|53.071

ID_ESTADO|ESTADO|ID_MUNICIPIO|MUNICIPIO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|7|CUERNAVACA|263|1|C|0|1|14|297|268|276|60|37|38|4|6|14|1|51|15|13|5|0|0|0|0|0|-|0|32|276|550| |1| |e864d030031d2fd3c1e70a812bb8f3d763c84d245ff642b8b44db75f234f6dfc|2015-06-08 09:30:00.000|2015-06-08 09:34:04.381|2015-06-08 09:34:08.926|
17|MORELOS|7|CUERNAVACA|264|1|B|0|1|14|235|224|224|48|28|30|4|6|13|2|50|13|7|6|Ilegible|1|Ilegible|Ilegible|Ilegible|-|Ilegible|16|224|438| |1| |2a0e1b541372bd15fad61c2de6026adb93506ed28be45908b22de005e70b589e|2015-06-07 00:02:00.000|2015-06-08 00:03:54.437|2015-06-08 00:03:59.207|
17|MORELOS|7|CUERNAVACA|264|1|C|0|1|14|236|9|220|42|40|27|1|9|10|2|35|22|8|7|1|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|16|220|437| |1| |666272e45d34d17acd55b54c40ad0e5d30fc7608042989ee30b297c835620501|2015-06-07 21:44:00.000|2015-06-07 21:45:30.602|2015-06-07 21:45:36.245|
17|MORELOS|7|CUERNAVACA|265|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |738| | | | | | | |
17|MORELOS|7|CUERNAVACA|281|1|B|0|1|14|300|243|249|49|37|25|2|8|18|1|51|17|4|8|0|0|0|0|0|-|1|28|249|531| |1| |7901a42b1ae21c4f158a1841ea924fac3976460cdab6010fe0d72348e240e9e2|2015-06-08 00:58:00.000|2015-06-08 00:59:06.777|2015-06-08 00:59:08.357|
17|MORELOS|7|CUERNAVACA|281|1|C|0|1|14|318|215|235|46|36|27|1|4|11|3|47|30|4|0|0|0|0|0|0|-|Sin dato|14|223|530| |1| |6ecdc1a75d8978e92d17f5a23d71eb2bb4e2cff648f6c27aac3bbdca24ba6647|2015-06-08 06:12:00.000|2015-06-08 06:20:12.799|2015-06-08 06:20:15.465|
17|MORELOS|7|CUERNAVACA|282|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |548| | | | | | | |
17|MORELOS|7|CUERNAVACA|282|1|C|0|1|14|297|263|264|33|31|19|3|8|2|2|96|38|8|12|39|33|10|41|22|-|1|9|407|547| |1| |d62de3758232c95c87f05a6b6fc7b94435ab3a2dd44cb40a857f621b60442d45|2015-06-08 09:39:00.000|2015-06-08 09:42:04.247|2015-06-08 09:42:09.009|
17|MORELOS|7|CUERNAVACA|282|2|C|0|1|14|301|266|271|39|47|14|1|10|7|1|75|57|5|3|0|0|0|0|0|-|1|11|271|547| |1| |a24460e13591bee0cc92d661ed6cc2531801a2e44c795cac091dedaa1beb508f|2015-06-08 06:07:00.000|2015-06-08 06:09:23.434|2015-06-08 06:09:26.847|
17|MORELOS|7|CUERNAVACA|283|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |512| | | | | | | |
17|MORELOS|7|CUERNAVACA|283|1|C|0|1|14|268|258|266|30|55|22|4|3|9|2|85|22|4|7|1|2|0|0|2|-|1|17|266|512| |1| |2c68982c0d7c3d4ae04f143d186d179eac76cd67175e54bde5845c6fcd8aa1b0|2015-06-08 02:13:00.000|2015-06-08 02:02:29.219|2015-06-08 02:14:13.420|
17|MORELOS|7|CUERNAVACA|283|2|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |511| | | | | | | |
17|MORELOS|7|CUERNAVACA|284|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |599| | | | | | | |
17|MORELOS|7|CUERNAVACA|284|1|C|0|1|14|309|306|307|28|65|37|5|9|12|6|82|21|17|7|0|0|0|1|0|-|Sin dato|17|307|598| |1| |3146acb0e285a73d9e65d7fc0aaa69330f090a858d5d11d6a8bf19e454279c75|2015-06-08 00:56:00.000|2015-06-08 00:45:37.194|2015-06-08 00:57:22.384|
17|MORELOS|7|CUERNAVACA|284|2|C|0|1|14|281|335|337|30|85|38|3|6|9|5|102|28|15|5|0|0|0|0|1|-|0|10|337|598| |1| |e78d0f63c2132a82cdfc239325faad18cb18906ee06afa82d513891945dcf5f6|2015-06-07 00:03:00.000|2015-06-08 00:10:21.058|2015-06-08 00:10:24.538|
17|MORELOS|7|CUERNAVACA|285|1|B|0|1|14|338|346|347|34|79|35|3|7|15|0|105|26|10|15|0|0|0|0|1|-|0|17|347|665| |1| |ab1a683358949806a171115334459d61958e49dc35504ab1c7f306b134373b57|2015-06-08 16:14:00.000|2015-06-08 16:03:23.377|2015-06-08 16:15:06.202|
17|MORELOS|7|CUERNAVACA|285|1|C|0|1|14|313|364|372|41|85|Ilegible|3|14|Ilegible|3|97|39|16|15|0|0|0|0|1|-|1|21|336|664| |1| |2b4172912e9fe54d71e1c9f36eb0a273ec0b83534669979a1e4b399f423f9c33|2015-06-08 17:28:00.000|2015-06-08 17:30:22.297|2015-06-08 17:30:25.540|
17|MORELOS|7|CUERNAVACA|286|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |673| | | | | | | |
17|MORELOS|7|CUERNAVACA|286|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |673| | | | | | | |
17|MORELOS|7|CUERNAVACA|287|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |617| | | | | | | |
17|MORELOS|7|CUERNAVACA|287|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |616| | | | | | | |
17|MORELOS|7|CUERNAVACA|288|1|B|0|1|14|338|295|295|25|48|18|1|16|11|4|91|47|8|7|0|1|0|1|1|-|0|16|295|612| |1| |960eea66d91a7087a0b5f2a89a955af471955b7df4d422924f1f0980ec576ae4|2015-06-08 06:46:00.000|2015-06-08 06:35:57.721|2015-06-08 06:47:42.568|
17|MORELOS|7|CUERNAVACA|288|1|C|0|1|14|343|284|289|22|44|21|0|10|7|2|91|60|5|10|0|0|0|2|0|-|0|15|289|611| |1| |50b2e78cd222dfea3c4d87f35c402d0cad1dc2eeb27364a65b741463297d384a|2015-06-08 06:35:00.000|2015-06-08 06:37:36.358|2015-06-08 06:37:38.869|
17|MORELOS|7|CUERNAVACA|288|2|C|0|1|14|358|266|274|37|31|11|Sin dato|4|10|1|109|35|16|4|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|1|15|274|611| |1| |746d4c1b161af814db5296bc89298dd7280e6e39c9b5073cb6831b70e68158bb|2015-06-08 07:48:00.000|2015-06-08 07:50:45.480|2015-06-08 07:50:48.608|
17|MORELOS|7|CUERNAVACA|289|1|B|0|1|14|396|321|328|44|45|38|3|5|22|7|71|41|6|9|0|0|0|0|0|-|1|36|328|703| |1| |631a1addb8f8eb1d6020e47f5b6958532f0c80eff8c1176e8d29fc220b7efa40|2015-06-08 10:19:00.000|2015-06-08 10:21:35.228|2015-06-08 10:21:37.524|
17|MORELOS|7|CUERNAVACA|290|1|B|0|1|14|312|341|345|48|47|43|4|6|21|1|86|51|4|5|1|0|0|1|0|-|0|21|339|640| |1| |bee266aa4d8d81310b9e4eb7d8bcd3008c714c5b707ebf3576d8d2189ea0a2be|2015-06-08 04:15:00.000|2015-06-08 04:17:58.333|2015-06-08 04:18:01.990|
17|MORELOS|7|CUERNAVACA|290|1|C|0|1|14|325|339|0|51|49|27|5|9|10|6|99|41|3|8|3|1|0|0|1|-|1|25|339|639| |1| |86d8c160648a436f19fb2322a64d6447ef7214fcd4c555d8b55b8feb105621fa|2015-06-08 04:13:00.000|2015-06-08 04:02:51.395|2015-06-08 04:14:36.316|
17|MORELOS|7|CUERNAVACA|290|2|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |639| | | | | | | |
17|MORELOS|7|CUERNAVACA|291|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |394| | | | | | | |
17|MORELOS|7|CUERNAVACA|291|1|C|0|1|14|218|198|197|30|36|15|2|10|18|1|45|10|8|5|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|17|197|394| |1| |75982ebf5232c0544ce32dd2855d536e032453310d61643f7810e7cc6d5cfab8|2015-06-08 00:27:00.000|2015-06-08 00:28:26.628|2015-06-08 00:28:31.225|
17|MORELOS|7|CUERNAVACA|305|1|B|0|1|14|381|334|Sin dato|Sin dato|64|50|2|8|11|2|104|19|12|Ilegible|43|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|20|335|699| |1| |c1749fdf834dc744f2df11013bb56d07b9c2e047368bda22c42929bf4904470e|2015-06-08 17:28:00.000|2015-06-08 17:34:26.613|2015-06-08 17:34:35.448|
17|MORELOS|7|CUERNAVACA|305|1|C|0|1|14|400|319|321|44|57|43|4|11|10|3|83|34|8|7|Sin dato|Sin dato|Sin dato|1|2|-|Sin dato|15|322|698| |1| |2ad34325db98c5bf815c4421ddec75aff8d13d83eef7109d8a2be076cec2c591|2015-06-08 17:10:00.000|2015-06-08 17:11:44.302|2015-06-08 17:11:48.016|
17|MORELOS|7|CUERNAVACA|305|2|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |698| | | | | | | |
17|MORELOS|7|CUERNAVACA|306|1|B|0|1|14|Ilegible|Ilegible|Ilegible|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|Sin dato|0|501| |1| |7de460254e4c5eebeeacdb68a2749815592927496988cf0da7f78a7c7579cecc|2015-06-08 16:09:00.000|2015-06-08 16:10:03.519|2015-06-08 16:10:10.344|
17|MORELOS|7|CUERNAVACA|306|1|C|0|1|14|281|234|240|17|40|39|3|10|5|3|72|28|7|7|0|0|0|0|0|-|0|9|240|500| |1| |0b6fbfe6a28aed00c7a31c855ea24e4c5643cbfb9a092de845cb72d8fabffb33|2015-06-08 01:55:00.000|2015-06-08 01:56:16.408|2015-06-08 01:56:18.744|
17|MORELOS|7|CUERNAVACA|306|2|C|0|1|14|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|Ilegible|Ilegible|0|500| |1| |b4d9a5b6bc85b842f8790012c1e7588da6caa516b5b9dcf3ef1f5a973fa22c4a|2015-06-08 17:15:00.000|2015-06-08 17:16:22.628|2015-06-08 17:16:26.886|
17|MORELOS|7|CUERNAVACA|307|1|B|0|1|14|270|319|324|48|69|28|6|3|14|3|90|25|12|12|0|0|0|1|1|-|2|10|324|573| |1| |0094a1fa59f71a890f2e58016c9fcb7d62a8ebf05122fe81e6d45aff10be991d|2015-06-08 06:05:00.000|2015-06-08 06:06:29.955|2015-06-08 06:06:30.958|
17|MORELOS|7|CUERNAVACA|307|1|C|0|1|14|266|323|327|32|65|24|7|8|4|2|99|27|14|13|2|1|0|0|0|-|1|28|327|573| |1| |eb9571154c7aa6c0ff4cc6f7712f5c1b79039abcd64f14dd512571950bca5763|2015-06-08 08:53:00.000|2015-06-08 08:54:26.900|2015-06-08 08:54:31.727|
17|MORELOS|7|CUERNAVACA|308|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |698| | | | | | | |
17|MORELOS|7|CUERNAVACA|308|1|C|0|1|14|356|361|361|48|65|42|3|9|11|2|115|26|17|5|1|0|0|0|1|-|1|15|361|697| |1| |2598006f07e63de38651c2aa51ac4d606da368496ff460033e0f79da9a5a765c|2015-06-08 03:28:00.000|2015-06-08 03:29:15.871|2015-06-08 03:29:18.652|
17|MORELOS|7|CUERNAVACA|309|1|B|0|1|14|381|349|349|53|59|27|5|10|9|8|102|33|15|8|2|1|0|1|0|-|1|15|349|709| |1| |8e66b7685068fcdb5883ccef7965801195255296660be5d721b7e8a6bcd38fa2|2015-06-08 17:15:00.000|2015-06-08 17:15:54.450|2015-06-08 17:15:56.613|
17|MORELOS|7|CUERNAVACA|309|1|C|0|1|14|398|326|330|51|50|42|2|7|17|1|87|23|20|14|1|0|0|2|0|-|0|14|331|709| |1| |898c257e486afecb3b47a2e30734449e35edf690c53bf1909356a23dbfd0b4ec|2015-06-08 14:59:00.000|2015-06-08 15:02:12.491|2015-06-08 15:02:16.626|
17|MORELOS|7|CUERNAVACA|309|2|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |709| | | | | | | |
17|MORELOS|7|CUERNAVACA|309|3|C|0|1|14|395|329|336|67|15|28|6|1|13|3|84|52|12|10|1|0|0|87|1|-|0|11|391|709| |1| |d24262bf035564c274e20012f7de6697ea88c4749db5d2b3efe9dca0a3c3fd97|2015-06-08 16:17:00.000|2015-06-08 16:20:33.598|2015-06-08 16:20:44.850|
17|MORELOS|7|CUERNAVACA|310|1|B|0|1|14|238|253|260|40|37|24|3|10|9|2|76|16|15|11|1|2|Sin dato|Sin dato|Sin dato|-|Sin dato|14|260|477| |1| |8f5c3bec637e4bb12fbe6dbe028122126677dc32b5a757191536800ce80bbf2b|2015-06-07 00:04:00.000|2015-06-08 00:05:17.340|2015-06-08 00:05:20.448|
17|MORELOS|7|CUERNAVACA|310|1|C|0|1|14|239|254|260|62|54|30|3|4|8|Ilegible|61|10|6|2|Ilegible|Ilegible|Ilegible|2|1|-|Ilegible|17|260|477| |1| |75cc6281ce9090ffe6f45b805885dd5d864f587e0dea8c9617b7f5b20af889df|2015-06-07 21:59:00.000|2015-06-07 22:02:28.699|2015-06-07 22:02:31.929|
17|MORELOS|7|CUERNAVACA|244|1|B|0|1|14|297|295|302|57|46|41|2|6|21|2|73|23|6|8|Sin dato|Sin dato|Sin dato|Sin dato|0|-|0|17|302|578| |1| |7013442b7fbfd159b96ce1f83686439aff3d93c64a4441a4e241733abc3cf632|2015-06-08 02:12:00.000|2015-06-08 02:20:08.225|2015-06-08 02:20:11.703|
17|MORELOS|7|CUERNAVACA|244|1|C|0|1|14|296|302|302|51|39|49|3|6|14|2|81|21|9|8|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|1|18|302|577| |1| |129cd5252b737ee483b73e8652c0888e0b25922e5c19341e808289cba14aa50a|2015-06-07 23:40:00.000|2015-06-07 23:41:37.491|2015-06-07 23:41:40.831|
17|MORELOS|7|CUERNAVACA|245|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |434| | | | | | | |
17|MORELOS|7|CUERNAVACA|245|1|C|0|1|14|Sin dato|Sin dato|Sin dato|47|21|19|4|7|18|3|28|21|9|5|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|27|209|434| |1| |06503594b9a93f3bc5872377ae0187a6dae1625c86404f8a4f2527fc442e6656|2015-06-07 22:15:00.000|2015-06-07 22:17:14.932|2015-06-07 22:17:19.176|
17|MORELOS|7|CUERNAVACA|246|1|B|0|1|14|281|329|341|Ilegible|72|36|0|7|15|8|62|9|4|9|2|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|23|247|599| |1| |3fc91bd03367c7b2466ca18c067f2c859759a8fb8b574fff0d20d8185eb7ca6c|2015-06-08 10:19:00.000|2015-06-08 10:21:24.501|2015-06-08 10:21:27.916|
17|MORELOS|7|CUERNAVACA|246|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |599| | | | | | | |
17|MORELOS|7|CUERNAVACA|247|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |604| | | | | | | |
17|MORELOS|7|CUERNAVACA|247|1|C|0|1|14|320|298|305|39|56|27|7|13|12|7|82|25|8|8|0|0|1|0|0|-|1|19|305|604| |1| |6bb2168107822a218d861d1deec38ae4f80804eb5442023ceca8592528a455d3|2015-06-07 23:20:00.000|2015-06-07 23:23:11.683|2015-06-07 23:23:17.530|
17|MORELOS|7|CUERNAVACA|248|1|B|0|1|14|252|268|274|56|50|24|2|4|16|0|64|24|2|11|0|0|0|1|0|-|0|15|269|505| |1| |0162b729cf09a710d2d0824756ab8d3a1891ba31a1698cb98e4c89fc8d25b3d9|2015-06-08 09:19:00.000|2015-06-08 09:22:46.005|2015-06-08 09:22:49.088|
17|MORELOS|7|CUERNAVACA|248|1|C|0|1|14|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|Ilegible|Ilegible|0|505| |1| |1f0daf310d045b798aabf6fc702953021f0f8ae50ecc81e169ff6359fabd30dd|2015-06-08 17:35:00.000|2015-06-08 17:37:17.553|2015-06-08 17:37:19.673|
17|MORELOS|7|CUERNAVACA|248|2|C|0|1|14|265|251|261|48|56|23|2|5|13|5|51|16|7|8|0|0|0|0|0|-|0|27|261|505| |1| |85a783738ca8481547634dd1dc5058583d3d363d8d3302e0ce1eb117ec826f92|2015-06-08 08:44:00.000|2015-06-08 08:50:31.017|2015-06-08 08:50:37.684|
17|MORELOS|7|CUERNAVACA|249|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |485| | | | | | | |
17|MORELOS|7|CUERNAVACA|250|1|B|0|1|14|346|262|267|59|39|29|1|3|17|3|50|25|5|4|1|0|0|0|0|-|0|31|267|592| |1| |a58c15e6b757b96169f0268897934942ce516a09892f9f75f2b6676340b260dd|2015-06-07 22:36:00.000|2015-06-07 22:37:15.505|2015-06-07 22:37:18.936|
17|MORELOS|7|CUERNAVACA|250|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |592| | | | | | | |
17|MORELOS|7|CUERNAVACA|266|1|B|0|1|14|223|170|177|30|29|17|4|3|16|0|29|16|8|7|0|0|0|0|0|-|1|17|177|378| |1| |97e7212de528ae7e0deb59a16fbcae12f691184d18f737d27664a68f21c4e56b|2015-06-08 07:26:00.000|2015-06-08 07:29:03.096|2015-06-08 07:29:10.254|
17|MORELOS|7|CUERNAVACA|266|1|C|0|1|14|188|202|209|40|30|22|3|7|12|2|44|21|3|9|0|0|0|0|1|-|0|15|209|377| |1| |2fbde6186f8f4f140e8634d3dfe3366871a33ff1ad1d28d028cc31e178dcab56|2015-06-08 07:26:00.000|2015-06-08 07:27:55.688|2015-06-08 07:28:02.630|
17|MORELOS|7|CUERNAVACA|267|1|B|0|1|14|267|282|289|50|41|35|0|10|8|0|70|32|8|8|0|0|0|0|0|-|3|21|286|537| |1| |36d51d56a12c04954af1960f194cbba2c3f40d5c8ec22f93acf3f1214d4801ca|2015-06-08 00:50:00.000|2015-06-08 00:51:17.605|2015-06-08 00:51:21.510|
17|MORELOS|7|CUERNAVACA|267|1|C|0|1|14|233|317|326|59|52|44|2|7|13|5|81|26|5|12|0|0|0|0|0|-|3|17|326|537| |1| |6bdc0b44cf3b9797f829d42ff6ce5e0ec5506a4996d1eb7da60a352454434a50|2015-06-08 07:25:00.000|2015-06-08 07:27:21.584|2015-06-08 07:27:27.052|
17|MORELOS|7|CUERNAVACA|267|2|C|0|1|14|284|558|272|46|51|28|2|2|8|21|59|25|6|6|Sin dato|Sin dato|Sin dato|Sin dato|30|-|Sin dato|19|303|537| |1| |a755c10e9ab38b71cc18a913f40ed741453649f19f068ce604b9e236ed16424f|2015-06-07 22:05:00.000|2015-06-07 22:09:09.095|2015-06-07 22:09:18.227|
17|MORELOS|7|CUERNAVACA|268|1|B|0|1|14|275|318|321|35|63|24|1|19|13|5|99|15|11|12|1|Sin dato|Sin dato|Sin dato|1|-|1|21|321|574| |1| |c0bead3d81f3a320befbdfb6e0119984fa75c08741141e2af8eb18833a90d355|2015-06-08 04:54:00.000|2015-06-08 04:57:43.880|2015-06-08 04:57:48.314|
17|MORELOS|7|CUERNAVACA|268|1|C|0|1|14|290|303|303|35|42|23|1|19|16|9|100|22|4|6|0|1|0|1|0|-|Ilegible|24|303|574| |1| |f10dd49b64005e767696089dd0596632a0021f6a4d5be70d53b1d35f4f231a63|2015-06-08 04:54:00.000|2015-06-08 04:43:56.847|2015-06-08 04:55:41.766|
17|MORELOS|7|CUERNAVACA|269|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |584| | | | | | | |
17|MORELOS|7|CUERNAVACA|269|1|C|0|1|14|305|295|299|44|43|33|3|6|8|8|94|23|8|9|0|0|0|0|0|-|0|20|299|583| |1| |d96db555322f95464d7fb1a889f6ca20327ff06557b30a9987b78e1a34fd3eb2|2015-06-07 22:46:00.000|2015-06-07 22:51:03.914|2015-06-07 22:51:12.990|
17|MORELOS|7|CUERNAVACA|270|1|B|0|1|14|326|337|345|44|54|49|4|7|13|6|91|28|11|7|0|0|0|0|0|-|1|30|345|650| |1| |59f28dcda1d68b21dd5b5ba1a44475b4f9a01d893e869c7844936355fc1fa9b7|2015-06-07 23:02:00.000|2015-06-07 23:04:14.894|2015-06-07 23:04:16.660|
17|MORELOS|7|CUERNAVACA|271|1|B|0|1|14|236|232|240|33|37|29|2|2|10|3|68|15|10|14|0|1|0|1|3|-|0|12|240|455| |1| |529c8d0ca880da23e54a5b775d4b22599b6f125cc17dcf02df266301c2acf51e|2015-06-07 22:00:00.000|2015-06-07 22:03:56.410|2015-06-07 22:04:08.090|
17|MORELOS|7|CUERNAVACA|271|1|C|0|1|14|246|229|229|24|33|36|1|5|12|2|59|24|5|4|1|0|0|1|0|-|2|20|229|454| |1| |5e6db226eeff9ff7524b4636da43c9af7f9ae1ebf6565e6d656edd822a7c2e67|2015-06-07 21:23:00.000|2015-06-07 21:40:35.296|2015-06-07 21:40:42.724|
17|MORELOS|7|CUERNAVACA|273|1|B|0|1|14|412|335|335|56|6|36|1|15|11|Sin dato|85|26|12|9|Sin dato|Sin dato|Sin dato|136|0|-|1|18|412|657| |1| |0626b8f6fda55e5a302bfa0a7c2bdf12a97070b3b70baa80e1a278491e4fd998|2015-06-08 16:02:00.000|2015-06-08 16:07:11.056|2015-06-08 16:07:16.351|
17|MORELOS|7|CUERNAVACA|273|1|C|0|1|14|332|341|346|59|65|31|4|11|18|16|86|28|0|4|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|24|346|657| |1| |232c00ed31216eeca1a8fa4a9993ee33dd05d4b224767236a96d7297e5e44702|2015-06-08 10:08:00.000|2015-06-08 10:10:01.555|2015-06-08 10:10:10.373|
17|MORELOS|7|CUERNAVACA|274|1|B|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |680| | | | | | | |
17|MORELOS|7|CUERNAVACA|274|1|C|0|1|14|340|354|362|39|75|62|8|7|7|13|88|24|4|5|1|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|29|362|680| |1| |1d6c0b9e7dd4833dd3c59dd996feee1e7616ecb8015153f9bd290be9b4a73597|2015-06-08 15:13:00.000|2015-06-08 15:21:00.756|2015-06-08 15:21:04.128|
17|MORELOS|7|CUERNAVACA|275|1|B|0|1|14|258|260|266|39|39|31|4|6|31|4|56|22|7|10|0|0|0|0|0|-|1|16|266|504| |1| |c95cd2af54b050b8ceab9cb53031b0438a218e22c26e925146cbb4ab8cc7a546|2015-06-08 15:15:00.000|2015-06-08 15:20:49.776|2015-06-08 15:20:53.622|
17|MORELOS|7|CUERNAVACA|275|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |504| | | | | | | |
17|MORELOS|7|CUERNAVACA|276|1|B|0|1|14|274|217|223|36|36|35|2|1|9|6|56|14|8|6|0|0|0|1|0|-|0|13|223|476| |1| |5cd8872b50aad3362643f15aa783a9d522ba467a6d514f573bc3496fc25dbdc8|2015-06-08 04:21:00.000|2015-06-08 04:24:26.712|2015-06-08 04:24:30.167|
17|MORELOS|7|CUERNAVACA|276|1|C|0|1|14|229|257|268|49|32|26|6|10|13|7|69|22|9|3|3|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|19|268|476| |1| |56777aa894d0c38e46dd5feba6dd67f149953d494b99039fa7b2f9a5935cd443|2015-06-08 03:31:00.000|2015-06-08 03:23:17.241|2015-06-08 03:35:02.438|
17|MORELOS|7|CUERNAVACA|277|1|B|0|1|14|306|316|315|47|10|32|2|4|4|Sin dato|68|40|7|7|Sin dato|Sin dato|Sin dato|61|Sin dato|-|0|28|310|602| |1| |3c030923259a06aae8c9c5039a1c801772b3a11c8d8aa677c4fcb04842e7b9f9|2015-06-08 17:25:00.000|2015-06-08 17:26:55.742|2015-06-08 17:27:02.170|
17|MORELOS|7|CUERNAVACA|278|1|B|0|1|14|196|240|248|35|31|29|9|5|Sin dato|2|73|17|5|6|Sin dato|Sin dato|Sin dato|Sin dato|19|-|1|15|247|423| |1| |b7620f2abbd9c57b2c324ef042817dbc49d5433703e34579f227fb29a9838b39|2015-06-08 00:25:00.000|2015-06-08 00:26:50.330|2015-06-08 00:26:55.030|
17|MORELOS|7|CUERNAVACA|278|1|C|0|1|14|211|227|232|35|37|24|0|4|15|3|68|21|4|5|0|0|0|1|0|-|0|15|232|422| |1| |badc6491240a41bbce8644daad268868c729cc4aa335fbb52b62ec256538ec64|2015-06-08 02:15:00.000|2015-06-08 02:17:42.693|2015-06-08 02:17:49.608|
17|MORELOS|7|CUERNAVACA|279|1|B|0|1|14|Ilegible|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|Sin dato|Sin dato|0|675| |1| |97c10a16db176ca4e09a077645fd28c05181384383a19a3b0ce75cff9e6a756d|2015-06-08 17:18:00.000|2015-06-08 17:19:59.750|2015-06-08 17:20:04.553|
17|MORELOS|7|CUERNAVACA|279|1|C|0|1|14| | | | | | | | | | | | | | | | | | | |-| | | |674| | | | | | | |
17|MORELOS|7|CUERNAVACA|280|1|B|0|1|14|105|167|167|23|29|16|2|8|10|Sin dato|38|13|3|5|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|4|15|166|346| |1| |1328bc75341b3ece2e123cc4495ba46e9fc625d5f2575c24569f4d8d8fc71f23|2015-06-07 22:34:00.000|2015-06-07 22:35:01.920|2015-06-07 22:35:06.126|
17|MORELOS|7|CUERNAVACA|292|1|B|0|1|14|352|328|333|45|40|51|4|11|10|4|111|23|9|8|1|Sin dato|Sin dato|Sin dato|1|-|Sin dato|15|333|664| |1| |ae24c9e811ffcb7c4093c4cdc3a19660913a34bb0818888cb88c72b59e7f0047|2015-06-08 05:08:00.000|2015-06-08 05:09:52.468|2015-06-08 05:09:55.533|
